
Label=I(R4) vs TEMP
LabelX=TEMP
LabelY=I(R4)
Data Point Count=59
TEMP,TEMP,I(R4)
0.0000000000000000E+000, 0.0000000000000000E+000, 1.1875776586828361E-003
1.0000000000000000E-002, 1.0000000000000000E-002, 1.1875937804878827E-003
2.0000000000000000E-002, 2.0000000000000000E-002, 1.1876098999263481E-003
2.9999999999999999E-002, 2.9999999999999999E-002, 1.1876260184206682E-003
5.0000000000000003E-002, 5.0000000000000003E-002, 1.1876582525802348E-003
8.9999999999999997E-002, 8.9999999999999997E-002, 1.1877227095945624E-003
1.6999999999999998E-001, 1.6999999999999998E-001, 1.1878515783853535E-003
3.2999999999999996E-001, 3.2999999999999996E-001, 1.1881091351472388E-003
6.4999999999999991E-001, 6.4999999999999991E-001, 1.1886235254500359E-003
1.2900000000000000E+000, 1.2900000000000000E+000, 1.1896494026805726E-003
2.2900000000000000E+000, 2.2900000000000000E+000, 1.1912445996679348E-003
3.2900000000000000E+000, 3.2900000000000000E+000, 1.1928307894764601E-003
4.2900000000000000E+000, 4.2900000000000000E+000, 1.1944078932154174E-003
5.2900000000000000E+000, 5.2900000000000000E+000, 1.1959760132810970E-003
6.2900000000000000E+000, 6.2900000000000000E+000, 1.1975352508027727E-003
7.2900000000000000E+000, 7.2900000000000000E+000, 1.1990857056225698E-003
8.2899999999999991E+000, 8.2899999999999991E+000, 1.2006274763339776E-003
9.2899999999999991E+000, 9.2899999999999991E+000, 1.2021606603171383E-003
1.0289999999999999E+001, 1.0289999999999999E+001, 1.2036853537731199E-003
1.1289999999999999E+001, 1.1289999999999999E+001, 1.2052016517452558E-003
1.2289999999999999E+001, 1.2289999999999999E+001, 1.2067096481505502E-003
1.3289999999999999E+001, 1.3289999999999999E+001, 1.2082094358312409E-003
1.4289999999999999E+001, 1.4289999999999999E+001, 1.2097011065560774E-003
1.5289999999999999E+001, 1.5289999999999999E+001, 1.2111847510722384E-003
1.6289999999999999E+001, 1.6289999999999999E+001, 1.2126604591334456E-003
1.7289999999999999E+001, 1.7289999999999999E+001, 1.2141283195259926E-003
1.8289999999999999E+001, 1.8289999999999999E+001, 1.2155884201058835E-003
1.9289999999999999E+001, 1.9289999999999999E+001, 1.2170408478277277E-003
2.0289999999999999E+001, 2.0289999999999999E+001, 1.2184856887765487E-003
2.1289999999999999E+001, 2.1289999999999999E+001, 1.2199230282075508E-003
2.2289999999999999E+001, 2.2289999999999999E+001, 1.2213529505697806E-003
2.3289999999999999E+001, 2.3289999999999999E+001, 1.2227755395415110E-003
2.4289999999999999E+001, 2.4289999999999999E+001, 1.2241908780707197E-003
2.5289999999999999E+001, 2.5289999999999999E+001, 1.2255990483997200E-003
2.6289999999999999E+001, 2.6289999999999999E+001, 1.2270001321051183E-003
2.7289999999999999E+001, 2.7289999999999999E+001, 1.2283942101292667E-003
2.8289999999999999E+001, 2.8289999999999999E+001, 1.2297813628206220E-003
2.9289999999999999E+001, 2.9289999999999999E+001, 1.2311616699638725E-003
3.0289999999999999E+001, 3.0289999999999999E+001, 1.2325352108195631E-003
3.1289999999999999E+001, 3.1289999999999999E+001, 1.2339020641606406E-003
3.2289999999999999E+001, 3.2289999999999999E+001, 1.2352623083092121E-003
3.3289999999999999E+001, 3.3289999999999999E+001, 1.2366160211761941E-003
3.4289999999999999E+001, 3.4289999999999999E+001, 1.2379632802986388E-003
3.5289999999999999E+001, 3.5289999999999999E+001, 1.2393041628811355E-003
