
Label=db(v(Vout)) vs F
LabelX=F
LabelY=db(v(Vout))
Data Point Count=1001
F,F,F,db(v(Vout)),db(v(Vout))
 1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000, 3.8187271020365131E+001, 0.0000000000000000E+000
 1.0092528860766845E+002, 1.0092528860766845E+002, 0.0000000000000000E+000, 3.8187271020363539E+001, 0.0000000000000000E+000
 1.0185913880541170E+002, 1.0185913880541170E+002, 0.0000000000000000E+000, 3.8187271020361905E+001, 0.0000000000000000E+000
 1.0280162981264738E+002, 1.0280162981264738E+002, 0.0000000000000000E+000, 3.8187271020360249E+001, 0.0000000000000000E+000
 1.0375284158180129E+002, 1.0375284158180129E+002, 0.0000000000000000E+000, 3.8187271020358558E+001, 0.0000000000000000E+000
 1.0471285480508999E+002, 1.0471285480508999E+002, 0.0000000000000000E+000, 3.8187271020356839E+001, 0.0000000000000000E+000
 1.0568175092136589E+002, 1.0568175092136589E+002, 0.0000000000000000E+000, 3.8187271020355084E+001, 0.0000000000000000E+000
 1.0665961212302584E+002, 1.0665961212302584E+002, 0.0000000000000000E+000, 3.8187271020353300E+001, 0.0000000000000000E+000
 1.0764652136298355E+002, 1.0764652136298355E+002, 0.0000000000000000E+000, 3.8187271020351481E+001, 0.0000000000000000E+000
 1.0864256236170662E+002, 1.0864256236170662E+002, 0.0000000000000000E+000, 3.8187271020349620E+001, 0.0000000000000000E+000
 1.0964781961431859E+002, 1.0964781961431859E+002, 0.0000000000000000E+000, 3.8187271020347737E+001, 0.0000000000000000E+000
 1.1066237839776673E+002, 1.1066237839776673E+002, 0.0000000000000000E+000, 3.8187271020345811E+001, 0.0000000000000000E+000
 1.1168632477805622E+002, 1.1168632477805622E+002, 0.0000000000000000E+000, 3.8187271020343857E+001, 0.0000000000000000E+000
 1.1271974561755115E+002, 1.1271974561755115E+002, 0.0000000000000000E+000, 3.8187271020341861E+001, 0.0000000000000000E+000
 1.1376272858234321E+002, 1.1376272858234321E+002, 0.0000000000000000E+000, 3.8187271020339828E+001, 0.0000000000000000E+000
 1.1481536214968841E+002, 1.1481536214968841E+002, 0.0000000000000000E+000, 3.8187271020337754E+001, 0.0000000000000000E+000
 1.1587773561551275E+002, 1.1587773561551275E+002, 0.0000000000000000E+000, 3.8187271020335643E+001, 0.0000000000000000E+000
 1.1694993910198725E+002, 1.1694993910198725E+002, 0.0000000000000000E+000, 3.8187271020333505E+001, 0.0000000000000000E+000
 1.1803206356517313E+002, 1.1803206356517313E+002, 0.0000000000000000E+000, 3.8187271020331316E+001, 0.0000000000000000E+000
 1.1912420080273766E+002, 1.1912420080273766E+002, 0.0000000000000000E+000, 3.8187271020329085E+001, 0.0000000000000000E+000
 1.2022644346174148E+002, 1.2022644346174148E+002, 0.0000000000000000E+000, 3.8187271020326818E+001, 0.0000000000000000E+000
 1.2133888504649792E+002, 1.2133888504649792E+002, 0.0000000000000000E+000, 3.8187271020324502E+001, 0.0000000000000000E+000
 1.2246161992650508E+002, 1.2246161992650508E+002, 0.0000000000000000E+000, 3.8187271020322157E+001, 0.0000000000000000E+000
 1.2359474334445127E+002, 1.2359474334445127E+002, 0.0000000000000000E+000, 3.8187271020319756E+001, 0.0000000000000000E+000
 1.2473835142429455E+002, 1.2473835142429455E+002, 0.0000000000000000E+000, 3.8187271020317311E+001, 0.0000000000000000E+000
 1.2589254117941698E+002, 1.2589254117941698E+002, 0.0000000000000000E+000, 3.8187271020314817E+001, 0.0000000000000000E+000
 1.2705741052085443E+002, 1.2705741052085443E+002, 0.0000000000000000E+000, 3.8187271020312288E+001, 0.0000000000000000E+000
 1.2823305826560244E+002, 1.2823305826560244E+002, 0.0000000000000000E+000, 3.8187271020309709E+001, 0.0000000000000000E+000
 1.2941958414499891E+002, 1.2941958414499891E+002, 0.0000000000000000E+000, 3.8187271020307072E+001, 0.0000000000000000E+000
 1.3061708881318447E+002, 1.3061708881318447E+002, 0.0000000000000000E+000, 3.8187271020304394E+001, 0.0000000000000000E+000
 1.3182567385564104E+002, 1.3182567385564104E+002, 0.0000000000000000E+000, 3.8187271020301665E+001, 0.0000000000000000E+000
 1.3304544179780945E+002, 1.3304544179780945E+002, 0.0000000000000000E+000, 3.8187271020298887E+001, 0.0000000000000000E+000
 1.3427649611378675E+002, 1.3427649611378675E+002, 0.0000000000000000E+000, 3.8187271020296059E+001, 0.0000000000000000E+000
 1.3551894123510399E+002, 1.3551894123510399E+002, 0.0000000000000000E+000, 3.8187271020293167E+001, 0.0000000000000000E+000
 1.3677288255958533E+002, 1.3677288255958533E+002, 0.0000000000000000E+000, 3.8187271020290240E+001, 0.0000000000000000E+000
 1.3803842646028892E+002, 1.3803842646028892E+002, 0.0000000000000000E+000, 3.8187271020287241E+001, 0.0000000000000000E+000
 1.3931568029453075E+002, 1.3931568029453075E+002, 0.0000000000000000E+000, 3.8187271020284200E+001, 0.0000000000000000E+000
 1.4060475241299184E+002, 1.4060475241299184E+002, 0.0000000000000000E+000, 3.8187271020281088E+001, 0.0000000000000000E+000
 1.4190575216890969E+002, 1.4190575216890969E+002, 0.0000000000000000E+000, 3.8187271020277926E+001, 0.0000000000000000E+000
 1.4321878992735483E+002, 1.4321878992735483E+002, 0.0000000000000000E+000, 3.8187271020274714E+001, 0.0000000000000000E+000
 1.4454397707459327E+002, 1.4454397707459327E+002, 0.0000000000000000E+000, 3.8187271020271425E+001, 0.0000000000000000E+000
 1.4588142602753538E+002, 1.4588142602753538E+002, 0.0000000000000000E+000, 3.8187271020268085E+001, 0.0000000000000000E+000
 1.4723125024327246E+002, 1.4723125024327246E+002, 0.0000000000000000E+000, 3.8187271020264681E+001, 0.0000000000000000E+000
 1.4859356422870130E+002, 1.4859356422870130E+002, 0.0000000000000000E+000, 3.8187271020261221E+001, 0.0000000000000000E+000
 1.4996848355023798E+002, 1.4996848355023798E+002, 0.0000000000000000E+000, 3.8187271020257690E+001, 0.0000000000000000E+000
 1.5135612484362147E+002, 1.5135612484362147E+002, 0.0000000000000000E+000, 3.8187271020254087E+001, 0.0000000000000000E+000
 1.5275660582380794E+002, 1.5275660582380794E+002, 0.0000000000000000E+000, 3.8187271020250428E+001, 0.0000000000000000E+000
 1.5417004529495665E+002, 1.5417004529495665E+002, 0.0000000000000000E+000, 3.8187271020246698E+001, 0.0000000000000000E+000
 1.5559656316050817E+002, 1.5559656316050817E+002, 0.0000000000000000E+000, 3.8187271020242896E+001, 0.0000000000000000E+000
 1.5703628043335598E+002, 1.5703628043335598E+002, 0.0000000000000000E+000, 3.8187271020239024E+001, 0.0000000000000000E+000
 1.5848931924611210E+002, 1.5848931924611210E+002, 0.0000000000000000E+000, 3.8187271020235080E+001, 0.0000000000000000E+000
 1.5995580286146765E+002, 1.5995580286146765E+002, 0.0000000000000000E+000, 3.8187271020231059E+001, 0.0000000000000000E+000
 1.6143585568264942E+002, 1.6143585568264942E+002, 0.0000000000000000E+000, 3.8187271020226973E+001, 0.0000000000000000E+000
 1.6292960326397306E+002, 1.6292960326397306E+002, 0.0000000000000000E+000, 3.8187271020222802E+001, 0.0000000000000000E+000
 1.6443717232149402E+002, 1.6443717232149402E+002, 0.0000000000000000E+000, 3.8187271020218553E+001, 0.0000000000000000E+000
 1.6595869074375693E+002, 1.6595869074375693E+002, 0.0000000000000000E+000, 3.8187271020214233E+001, 0.0000000000000000E+000
 1.6749428760264462E+002, 1.6749428760264462E+002, 0.0000000000000000E+000, 3.8187271020209828E+001, 0.0000000000000000E+000
 1.6904409316432731E+002, 1.6904409316432731E+002, 0.0000000000000000E+000, 3.8187271020205337E+001, 0.0000000000000000E+000
 1.7060823890031327E+002, 1.7060823890031327E+002, 0.0000000000000000E+000, 3.8187271020200768E+001, 0.0000000000000000E+000
 1.7218685749860165E+002, 1.7218685749860165E+002, 0.0000000000000000E+000, 3.8187271020196114E+001, 0.0000000000000000E+000
 1.7378008287493853E+002, 1.7378008287493853E+002, 0.0000000000000000E+000, 3.8187271020191375E+001, 0.0000000000000000E+000
 1.7538805018417713E+002, 1.7538805018417713E+002, 0.0000000000000000E+000, 3.8187271020186543E+001, 0.0000000000000000E+000
 1.7701089583174314E+002, 1.7701089583174314E+002, 0.0000000000000000E+000, 3.8187271020181626E+001, 0.0000000000000000E+000
 1.7864875748520612E+002, 1.7864875748520612E+002, 0.0000000000000000E+000, 3.8187271020172481E+001, 0.0000000000000000E+000
 1.8030177408595796E+002, 1.8030177408595796E+002, 0.0000000000000000E+000, 3.8187271020167380E+001, 0.0000000000000000E+000
 1.8197008586099943E+002, 1.8197008586099943E+002, 0.0000000000000000E+000, 3.8187271020162186E+001, 0.0000000000000000E+000
 1.8365383433483575E+002, 1.8365383433483575E+002, 0.0000000000000000E+000, 3.8187271020156885E+001, 0.0000000000000000E+000
 1.8535316234148229E+002, 1.8535316234148229E+002, 0.0000000000000000E+000, 3.8187271020151499E+001, 0.0000000000000000E+000
