
Label=I(R1) vs V(V2)
LabelX=V(V2)
LabelY=I(R1)
Data Point Count=89
V(V2),V(V2),I(R1)
 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2137034811520276E-011
 1.0000000000000000E-004, 1.0000000000000000E-004, 1.2136924596652741E-011
 2.0000000000000001E-004, 2.0000000000000001E-004, 1.2136815592937596E-011
 3.0000000000000003E-004, 3.0000000000000003E-004, 1.2136706185504987E-011
 5.0000000000000001E-004, 5.0000000000000001E-004, 1.2136487774357234E-011
 8.9999999999999998E-004, 8.9999999999999998E-004, 1.2136052163214117E-011
 1.7000000000000001E-003, 1.7000000000000001E-003, 1.2135185381819983E-011
 3.3000000000000000E-003, 3.3000000000000000E-003, 1.2133473619774743E-011
 6.5000000000000006E-003, 6.5000000000000006E-003, 1.2130139720961158E-011
 1.2900000000000002E-002, 1.2900000000000002E-002, 1.2123886137451543E-011
 2.2900000000000004E-002, 2.2900000000000004E-002, 1.2114440763675496E-011
 3.2900000000000006E-002, 3.2900000000000006E-002, 1.2108572730343522E-011
 4.2900000000000008E-002, 4.2900000000000008E-002, 1.2106338154183049E-011
 5.2900000000000010E-002, 5.2900000000000010E-002, 1.2110559423981406E-011
 6.2900000000000011E-002, 6.2900000000000011E-002, 1.2122650358295769E-011
 7.2900000000000006E-002, 7.2900000000000006E-002, 1.2146322735485559E-011
 8.2900000000000001E-002, 8.2900000000000001E-002, 1.2189262528620888E-011
 9.2899999999999996E-002, 9.2899999999999996E-002, 1.2258401162832590E-011
 1.0289999999999999E-001, 1.0289999999999999E-001, 1.2366687472044967E-011
 1.1289999999999999E-001, 1.1289999999999999E-001, 1.2533763522009684E-011
 1.2289999999999998E-001, 1.2289999999999998E-001, 1.2786384476467819E-011
 1.3289999999999999E-001, 1.3289999999999999E-001, 1.3164511501108998E-011
 1.4290000000000000E-001, 1.4290000000000000E-001, 1.3727025576832313E-011
 1.5290000000000001E-001, 1.5290000000000001E-001, 1.4562347287623692E-011
 1.6290000000000002E-001, 1.6290000000000002E-001, 1.5798582644131122E-011
 1.7290000000000003E-001, 1.7290000000000003E-001, 1.7623945535273255E-011
 1.8290000000000003E-001, 1.8290000000000003E-001, 2.0317984466606215E-011
 1.9290000000000004E-001, 1.9290000000000004E-001, 2.4289903018241562E-011
 2.0290000000000005E-001, 2.0290000000000005E-001, 3.0143247090305439E-011
 2.1290000000000006E-001, 2.1290000000000006E-001, 3.8764648864612770E-011
 2.2290000000000007E-001, 2.2290000000000007E-001, 5.1460635348958433E-011
 2.3290000000000008E-001, 2.3290000000000008E-001, 7.0153747457688749E-011
 2.4290000000000009E-001, 2.4290000000000009E-001, 9.7673730921469953E-011
 2.5290000000000007E-001, 2.5290000000000007E-001, 1.3818386717707137E-010
 2.6290000000000008E-001, 2.6290000000000008E-001, 1.9781639397238718E-010
 2.7290000000000009E-001, 2.7290000000000009E-001, 2.8559180273194073E-010
 2.8290000000000010E-001, 2.8290000000000010E-001, 4.1478886386220829E-010
 2.9290000000000010E-001, 2.9290000000000010E-001, 6.0495198749389476E-010
 3.0290000000000011E-001, 3.0290000000000011E-001, 8.8484705300247288E-010
 3.1290000000000012E-001, 3.1290000000000012E-001, 1.2968121348483857E-009
 3.2290000000000013E-001, 3.2290000000000013E-001, 1.9031626678640960E-009
 3.3290000000000014E-001, 3.3290000000000014E-001, 2.7956146650157363E-009
 3.4290000000000015E-001, 3.4290000000000015E-001, 4.1091619121499689E-009
 3.5290000000000016E-001, 3.5290000000000016E-001, 6.0424873694519093E-009
 3.6290000000000017E-001, 3.6290000000000017E-001, 8.8880247509334505E-009
 3.7290000000000018E-001, 3.7290000000000018E-001, 1.3076182833496571E-008
 3.8290000000000018E-001, 3.8290000000000018E-001, 1.9240449522506253E-008
 3.9290000000000019E-001, 3.9290000000000019E-001, 2.8313213511892019E-008
 4.0290000000000020E-001, 4.0290000000000020E-001, 4.1666788424795954E-008
 4.1290000000000021E-001, 4.1290000000000021E-001, 6.1320976426738510E-008
 4.2290000000000022E-001, 4.2290000000000022E-001, 9.0248568480610912E-008
 4.3290000000000023E-001, 4.3290000000000023E-001, 1.3282496698478627E-007
 4.4290000000000024E-001, 4.4290000000000024E-001, 1.9548993285449386E-007
 4.5290000000000025E-001, 4.5290000000000025E-001, 2.8772150406116995E-007
 4.6290000000000026E-001, 4.6290000000000026E-001, 4.2346931648274867E-007
 4.7290000000000026E-001, 4.7290000000000026E-001, 6.2326393801548363E-007
 4.8290000000000027E-001, 4.8290000000000027E-001, 9.1732088153334057E-007
 4.9290000000000028E-001, 4.9290000000000028E-001, 1.3501079307162459E-006
 5.0290000000000024E-001, 5.0290000000000024E-001, 1.9870647989061008E-006
 5.1290000000000024E-001, 5.1290000000000024E-001, 2.9244875589809735E-006
 5.2290000000000025E-001, 5.2290000000000025E-001, 4.3040644264845760E-006
 5.3290000000000026E-001, 5.3290000000000026E-001, 6.3342432119105719E-006
 5.4290000000000027E-001, 5.4290000000000027E-001, 9.3216229288566933E-006
 5.5290000000000028E-001, 5.5290000000000028E-001, 1.3717032772377700E-005
 5.6290000000000029E-001, 5.6290000000000029E-001, 2.0183085141222438E-005
 5.7290000000000030E-001, 5.7290000000000030E-001, 2.9693026797555011E-005
 5.8290000000000031E-001, 5.8290000000000031E-001, 4.3674993726392699E-005
 5.9290000000000032E-001, 5.9290000000000032E-001, 6.4221673990739854E-005
 6.0290000000000032E-001, 6.0290000000000032E-001, 9.4393209183566318E-005
 6.1290000000000033E-001, 6.1290000000000033E-001, 1.3865088373102267E-004
 6.2290000000000034E-001, 6.2290000000000034E-001, 2.0346971448047637E-004
 6.3290000000000035E-001, 6.3290000000000035E-001, 2.9818597532154826E-004
 6.4290000000000036E-001, 6.4290000000000036E-001, 4.3613226726405691E-004
 6.5290000000000037E-001, 6.5290000000000037E-001, 6.3607923350434000E-004
 6.6290000000000038E-001, 6.6290000000000038E-001, 9.2390399515227602E-004
 6.7290000000000039E-001, 6.7290000000000039E-001, 1.3341844095291189E-003
 6.8290000000000040E-001, 6.8290000000000040E-001, 1.9110113271470547E-003
 6.9290000000000040E-001, 6.9290000000000040E-001, 2.2369722964722546E-003
 7.0290000000000041E-001, 7.0290000000000041E-001, 2.2471313674352089E-003
 7.1290000000000042E-001, 7.1290000000000042E-001, 2.2512466194540433E-003
 7.2290000000000043E-001, 7.2290000000000043E-001, 2.2535393880986948E-003
 7.3290000000000044E-001, 7.3290000000000044E-001, 2.2549884474673616E-003
 7.4290000000000045E-001, 7.4290000000000045E-001, 2.2559511399201444E-003
 7.5290000000000046E-001, 7.5290000000000046E-001, 2.2566245070565114E-003
 7.6290000000000047E-001, 7.6290000000000047E-001, 2.2571067742172767E-003
 7.7290000000000048E-001, 7.7290000000000048E-001, 2.2574572435792254E-003
 7.8290000000000048E-001, 7.8290000000000048E-001, 2.2577136170745791E-003
 7.9290000000000049E-001, 7.9290000000000049E-001, 2.2579009194738371E-003
 8.0000000000000004E-001, 8.0000000000000004E-001, 2.2580015307497158E-003
