
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000,-7.1518862160381458E+000, 0.0000000000000000E+000
1.0092528860766845E+002, 1.0092528860766845E+002, 0.0000000000000000E+000,-7.0897366082484270E+000, 0.0000000000000000E+000
1.0185913880541170E+002, 1.0185913880541170E+002, 0.0000000000000000E+000,-7.0278437747016422E+000, 0.0000000000000000E+000
1.0280162981264738E+002, 1.0280162981264738E+002, 0.0000000000000000E+000,-6.9662103166446565E+000, 0.0000000000000000E+000
1.0375284158180129E+002, 1.0375284158180129E+002, 0.0000000000000000E+000,-6.9048388303991146E+000, 0.0000000000000000E+000
1.0471285480508999E+002, 1.0471285480508999E+002, 0.0000000000000000E+000,-6.8437319063746376E+000, 0.0000000000000000E+000
1.0568175092136589E+002, 1.0568175092136589E+002, 0.0000000000000000E+000,-6.7828921280607073E+000, 0.0000000000000000E+000
1.0665961212302584E+002, 1.0665961212302584E+002, 0.0000000000000000E+000,-6.7223220710074187E+000, 0.0000000000000000E+000
1.0764652136298355E+002, 1.0764652136298355E+002, 0.0000000000000000E+000,-6.6620243017878717E+000, 0.0000000000000000E+000
1.0864256236170662E+002, 1.0864256236170662E+002, 0.0000000000000000E+000,-6.6020013769480386E+000, 0.0000000000000000E+000
1.0964781961431859E+002, 1.0964781961431859E+002, 0.0000000000000000E+000,-6.5422558419406052E+000, 0.0000000000000000E+000
1.1066237839776673E+002, 1.1066237839776673E+002, 0.0000000000000000E+000,-6.4827902300479936E+000, 0.0000000000000000E+000
1.1168632477805622E+002, 1.1168632477805622E+002, 0.0000000000000000E+000,-6.4236070612907650E+000, 0.0000000000000000E+000
1.1271974561755115E+002, 1.1271974561755115E+002, 0.0000000000000000E+000,-6.3647088413247221E+000, 0.0000000000000000E+000
1.1376272858234321E+002, 1.1376272858234321E+002, 0.0000000000000000E+000,-6.3060980603271677E+000, 0.0000000000000000E+000
1.1481536214968841E+002, 1.1481536214968841E+002, 0.0000000000000000E+000,-6.2477771918720251E+000, 0.0000000000000000E+000
1.1587773561551275E+002, 1.1587773561551275E+002, 0.0000000000000000E+000,-6.1897486917975169E+000, 0.0000000000000000E+000
1.1694993910198725E+002, 1.1694993910198725E+002, 0.0000000000000000E+000,-6.1320149970626225E+000, 0.0000000000000000E+000
