
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000,-9.6009279993128978E+000, 0.0000000000000000E+000
1.0115794542598987E+002, 1.0115794542598987E+002, 0.0000000000000000E+000,-9.4820766207796510E+000, 0.0000000000000000E+000
1.0232929922807543E+002, 1.0232929922807543E+002, 0.0000000000000000E+000,-9.3635912416716938E+000, 0.0000000000000000E+000
1.0351421666793441E+002, 1.0351421666793441E+002, 0.0000000000000000E+000,-9.2454670391967539E+000, 0.0000000000000000E+000
1.0471285480508999E+002, 1.0471285480508999E+002, 0.0000000000000000E+000,-9.1276992117619553E+000, 0.0000000000000000E+000
1.0592537251772893E+002, 1.0592537251772893E+002, 0.0000000000000000E+000,-9.0102829814238579E+000, 0.0000000000000000E+000
1.0715193052376070E+002, 1.0715193052376070E+002, 0.0000000000000000E+000,-8.8932135959599616E+000, 0.0000000000000000E+000
1.0839269140212042E+002, 1.0839269140212042E+002, 0.0000000000000000E+000,-8.7764863311330483E+000, 0.0000000000000000E+000
1.0964781961431858E+002, 1.0964781961431858E+002, 0.0000000000000000E+000,-8.6600964927057476E+000, 0.0000000000000000E+000
1.1091748152624019E+002, 1.1091748152624019E+002, 0.0000000000000000E+000,-8.5440394184242123E+000, 0.0000000000000000E+000
1.1220184543019644E+002, 1.1220184543019644E+002, 0.0000000000000000E+000,-8.4283104800041109E+000, 0.0000000000000000E+000
1.1350108156723161E+002, 1.1350108156723161E+002, 0.0000000000000000E+000,-8.3129050849208088E+000, 0.0000000000000000E+000
1.1481536214968838E+002, 1.1481536214968838E+002, 0.0000000000000000E+000,-8.1978186782302629E+000, 0.0000000000000000E+000
1.1614486138403439E+002, 1.1614486138403439E+002, 0.0000000000000000E+000,-8.0830467442341387E+000, 0.0000000000000000E+000
1.1748975549395307E+002, 1.1748975549395307E+002, 0.0000000000000000E+000,-7.9685848081458657E+000, 0.0000000000000000E+000
1.1885022274370196E+002, 1.1885022274370196E+002, 0.0000000000000000E+000,-7.8544284376449092E+000, 0.0000000000000000E+000
