BaseV,BaseI,CollectorI
300.0000E-3,2.0943E-6,23.7196E-12
305.0000E-3,2.1347E-6,28.0640E-12
310.0000E-3,2.1296E-6,33.8714E-12
315.0000E-3,2.0993E-6,39.3952E-12
320.0000E-3,2.1044E-6,48.5546E-12
325.0000E-3,2.0640E-6,61.1481E-12
330.0000E-3,2.1094E-6,74.2060E-12
335.0000E-3,2.1498E-6,89.6737E-12
340.0000E-3,2.1448E-6,108.8222E-12
345.0000E-3,2.1397E-6,132.4718E-12
350.0000E-3,2.0993E-6,161.2369E-12
355.0000E-3,2.1397E-6,194.2712E-12
360.0000E-3,2.1094E-6,236.6612E-12
365.0000E-3,2.0691E-6,286.5784E-12
370.0000E-3,2.0892E-6,349.9240E-12
375.0000E-3,2.1145E-6,425.5938E-12
380.0000E-3,2.0034E-6,516.4116E-12
385.0000E-3,2.0590E-6,628.5776E-12
390.0000E-3,2.0135E-6,762.8709E-12
395.0000E-3,2.0135E-6,929.4328E-12
400.0000E-3,2.0287E-6,1.1320E-9
405.0000E-3,2.0792E-6,1.3775E-9
410.0000E-3,2.0792E-6,1.6742E-9
415.0000E-3,2.0842E-6,2.0367E-9
420.0000E-3,2.0741E-6,2.4750E-9
425.0000E-3,2.1145E-6,3.0151E-9
430.0000E-3,2.0741E-6,3.6635E-9
435.0000E-3,2.0943E-6,4.4598E-9
440.0000E-3,2.1246E-6,5.4021E-9
445.0000E-3,2.0993E-6,6.5748E-9
450.0000E-3,2.0892E-6,7.9921E-9
455.0000E-3,2.0993E-6,9.7258E-9
460.0000E-3,2.1397E-6,11.8206E-9
465.0000E-3,2.0337E-6,14.3849E-9
470.0000E-3,2.0236E-6,17.4931E-9
475.0000E-3,2.0236E-6,21.2797E-9
480.0000E-3,1.9933E-6,25.8630E-9
485.0000E-3,2.0489E-6,31.4770E-9
490.0000E-3,2.0489E-6,38.2565E-9
495.0000E-3,2.0135E-6,46.5738E-9
500.0000E-3,2.0287E-6,56.5269E-9
505.0000E-3,2.0438E-6,68.8166E-9
510.0000E-3,2.0438E-6,83.6421E-9
515.0000E-3,2.0085E-6,101.8085E-9
520.0000E-3,2.0438E-6,123.7242E-9
525.0000E-3,2.0943E-6,150.5814E-9
530.0000E-3,1.9984E-6,183.0771E-9
535.0000E-3,2.0135E-6,222.7773E-9
540.0000E-3,2.0539E-6,270.7690E-9
545.0000E-3,2.0236E-6,329.4998E-9
550.0000E-3,2.0034E-6,400.4322E-9
555.0000E-3,1.9681E-6,487.3728E-9
560.0000E-3,2.0236E-6,591.6844E-9
565.0000E-3,2.0438E-6,720.1056E-9
570.0000E-3,2.0489E-6,875.2105E-9
575.0000E-3,2.0135E-6,1.0651E-6
580.0000E-3,2.0943E-6,1.2938E-6
585.0000E-3,2.0034E-6,1.5743E-6
590.0000E-3,2.0590E-6,1.9160E-6
595.0000E-3,2.0186E-6,2.3276E-6
600.0000E-3,2.0438E-6,2.8318E-6
605.0000E-3,2.0892E-6,3.4394E-6
610.0000E-3,2.0186E-6,4.1832E-6
615.0000E-3,2.0388E-6,5.0762E-6
620.0000E-3,2.0792E-6,6.1745E-6
625.0000E-3,2.0337E-6,7.5003E-6
630.0000E-3,2.0590E-6,9.1203E-6
635.0000E-3,2.0842E-6,11.0773E-6
640.0000E-3,2.1094E-6,13.4705E-6
645.0000E-3,2.1751E-6,16.3573E-6
650.0000E-3,2.1751E-6,19.8949E-6
655.0000E-3,2.2154E-6,24.1465E-6
660.0000E-3,2.2861E-6,29.3485E-6
665.0000E-3,2.3467E-6,35.6152E-6
670.0000E-3,2.5132E-6,43.2867E-6
675.0000E-3,2.5486E-6,52.4887E-6
680.0000E-3,2.6394E-6,63.7751E-6
685.0000E-3,2.7606E-6,77.3598E-6
690.0000E-3,2.8918E-6,93.9357E-6
695.0000E-3,3.0937E-6,113.8626E-6
700.0000E-3,3.3158E-6,138.1780E-6
705.0000E-3,3.6288E-6,167.3690E-6
710.0000E-3,3.9316E-6,202.8925E-6
715.0000E-3,4.2900E-6,245.4855E-6
720.0000E-3,4.7998E-6,297.2400E-6
725.0000E-3,5.3601E-6,359.1214E-6
730.0000E-3,6.0214E-6,434.0731E-6
735.0000E-3,6.7886E-6,523.2256E-6
740.0000E-3,7.7932E-6,630.8748E-6
745.0000E-3,8.9289E-6,758.6028E-6
750.0000E-3,10.2515E-6,911.5785E-6
755.0000E-3,11.9829E-6,1.0928E-3
,,
,,
,,
,,
,,
,,
,,
,,
,,
