CollectorV(1),Ic01 (Ib = 1 uA),Ic02 (Ib = 2 uA),Ic03 (Ib = 3 uA),Ic04 (Ib = 4 uA),Ic05 (Ib = 5 uA),Ic06 (Ib = 6 uA),Ic07 (Ib = 7 uA),Ic08 (Ib = 8 uA),Ic09 (Ib = 9 uA),Ic10 (Ib = 10 uA),,,,,,,,,,,,,,,,,,,,
000.0000E+0,-986.9891E-9,-1.9610E-6,-2.9268E-6,-3.8908E-6,-4.8545E-6,-5.8186E-6,-6.7897E-6,-7.7756E-6,-8.6807E-6,-9.6577E-6,,,,,,,,,,,,,,,,,,,,
50.0000E-3,3.8146E-6,8.8618E-6,13.5977E-6,18.4731E-6,22.5874E-6,26.9371E-6,31.1464E-6,35.2622E-6,39.4793E-6,43.3185E-6,,,,,,,,,,,,,,,,,,,,
100.0000E-3,28.9651E-6,59.0142E-6,89.2386E-6,119.4379E-6,149.5785E-6,179.5047E-6,209.1495E-6,238.7187E-6,267.9815E-6,296.9207E-6,,,,,,,,,,,,,,,,,,,,
150.0000E-3,72.6861E-6,148.7024E-6,224.3202E-6,298.7436E-6,371.4324E-6,442.3877E-6,511.9723E-6,578.9757E-6,644.0156E-6,707.3185E-6,,,,,,,,,,,,,,,,,,,,
200.0000E-3,93.7912E-6,194.3718E-6,295.5452E-6,395.9781E-6,495.2734E-6,593.5277E-6,688.4219E-6,780.4988E-6,869.7415E-6,956.4815E-6,,,,,,,,,,,,,,,,,,,,
250.0000E-3,98.1072E-6,204.2663E-6,312.0738E-6,420.0079E-6,527.9352E-6,634.5753E-6,739.5315E-6,842.4938E-6,942.7886E-6,1.0407E-3,,,,,,,,,,,,,,,,,,,,
300.0000E-3,98.8775E-6,206.0834E-6,315.1923E-6,424.7886E-6,534.5013E-6,643.8717E-6,752.3957E-6,859.7213E-6,965.2131E-6,1.0688E-3,,,,,,,,,,,,,,,,,,,,
350.0000E-3,99.1084E-6,206.5739E-6,316.0454E-6,426.1195E-6,536.3512E-6,646.5283E-6,756.1996E-6,865.2844E-6,973.1910E-6,1.0799E-3,,,,,,,,,,,,,,,,,,,,
400.0000E-3,99.2492E-6,206.8894E-6,316.5306E-6,426.8210E-6,537.3063E-6,647.8392E-6,757.9638E-6,867.7593E-6,976.7294E-6,1.0848E-3,,,,,,,,,,,,,,,,,,,,
450.0000E-3,99.3550E-6,207.1526E-6,316.9416E-6,427.3826E-6,538.0609E-6,648.7912E-6,759.2171E-6,869.3750E-6,978.7213E-6,1.0875E-3,,,,,,,,,,,,,,,,,,,,
500.0000E-3,99.4745E-6,207.3799E-6,317.3094E-6,427.9362E-6,538.7595E-6,649.6569E-6,760.2757E-6,870.6375E-6,980.3441E-6,1.0894E-3,,,,,,,,,,,,,,,,,,,,
550.0000E-3,99.5676E-6,207.6082E-6,317.6567E-6,428.4410E-6,539.4182E-6,650.4554E-6,761.2428E-6,871.8130E-6,981.7287E-6,1.0910E-3,,,,,,,,,,,,,,,,,,,,
600.0000E-3,99.6697E-6,207.8160E-6,317.9903E-6,428.8907E-6,540.0012E-6,651.1924E-6,762.1070E-6,872.8266E-6,982.9715E-6,1.0924E-3,,,,,,,,,,,,,,,,,,,,
650.0000E-3,99.7709E-6,208.0322E-6,318.3202E-6,429.3461E-6,540.5489E-6,651.8355E-6,762.9615E-6,873.8099E-6,984.1174E-6,1.0937E-3,,,,,,,,,,,,,,,,,,,,
700.0000E-3,99.8613E-6,208.2297E-6,318.6117E-6,429.7629E-6,541.0683E-6,652.5331E-6,763.7253E-6,874.7514E-6,985.1748E-6,1.0950E-3,,,,,,,,,,,,,,,,,,,,
