
Label=dB(v(Vout)/v(Vin)) vs F
LabelX=F
LabelY=dB(v(Vout)/v(Vin))
Data Point Count=1001
F,F,F,dB(v(Vout)/v(Vin)),dB(v(Vout)/v(Vin))
1.0000000000000000E+003, 1.0000000000000000E+003, 0.0000000000000000E+000,-7.4497351564140724E+000, 0.0000000000000000E+000
1.0069316688518041E+003, 1.0069316688518041E+003, 0.0000000000000000E+000,-7.3291442891825787E+000, 0.0000000000000000E+000
1.0139113857366794E+003, 1.0139113857366794E+003, 0.0000000000000000E+000,-7.2085451820151016E+000, 0.0000000000000000E+000
1.0209394837076800E+003, 1.0209394837076800E+003, 0.0000000000000000E+000,-7.0879377197166935E+000, 0.0000000000000000E+000
1.0280162981264737E+003, 1.0280162981264737E+003, 0.0000000000000000E+000,-6.9673217854739855E+000, 0.0000000000000000E+000
1.0351421666793440E+003, 1.0351421666793440E+003, 0.0000000000000000E+000,-6.8466972608321690E+000, 0.0000000000000000E+000
1.0423174293933043E+003, 1.0423174293933043E+003, 0.0000000000000000E+000,-6.7260640256717927E+000, 0.0000000000000000E+000
1.0495424286523225E+003, 1.0495424286523225E+003, 0.0000000000000000E+000,-6.6054219581850404E+000, 0.0000000000000000E+000
1.0568175092136587E+003, 1.0568175092136587E+003, 0.0000000000000000E+000,-6.4847709348517988E+000, 0.0000000000000000E+000
1.0641430182243164E+003, 1.0641430182243164E+003, 0.0000000000000000E+000,-6.3641108304153349E+000, 0.0000000000000000E+000
1.0715193052376069E+003, 1.0715193052376069E+003, 0.0000000000000000E+000,-6.2434415178576224E+000, 0.0000000000000000E+000
1.0789467222298292E+003, 1.0789467222298292E+003, 0.0000000000000000E+000,-6.1227628683743021E+000, 0.0000000000000000E+000
1.0864256236170659E+003, 1.0864256236170659E+003, 0.0000000000000000E+000,-6.0020747513492720E+000, 0.0000000000000000E+000
1.0939563662720943E+003, 1.0939563662720943E+003, 0.0000000000000000E+000,-5.8813770343289749E+000, 0.0000000000000000E+000
1.1015393095414156E+003, 1.1015393095414156E+003, 0.0000000000000000E+000,-5.7606695829961909E+000, 0.0000000000000000E+000
1.1091748152624018E+003, 1.1091748152624018E+003, 0.0000000000000000E+000,-5.6399522611435673E+000, 0.0000000000000000E+000
1.1168632477805618E+003, 1.1168632477805618E+003, 0.0000000000000000E+000,-5.5192249306466978E+000, 0.0000000000000000E+000
1.1246049739669272E+003, 1.1246049739669272E+003, 0.0000000000000000E+000,-5.3984874514368419E+000, 0.0000000000000000E+000
1.1324003632355577E+003, 1.1324003632355577E+003, 0.0000000000000000E+000,-5.2777396814732169E+000, 0.0000000000000000E+000
1.1402497875611693E+003, 1.1402497875611693E+003, 0.0000000000000000E+000,-5.1569814767148898E+000, 0.0000000000000000E+000
1.1481536214968835E+003, 1.1481536214968835E+003, 0.0000000000000000E+000,-5.0362126910923113E+000, 0.0000000000000000E+000
1.1561122421920995E+003, 1.1561122421920995E+003, 0.0000000000000000E+000,-4.9154331764783512E+000, 0.0000000000000000E+000
