
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=273
T,v(Vout)
 0.0000000000000000E+000, 1.4999999859518402E+001
 1.0000000000000000E-008, 1.4999999859518400E+001
 2.0000000000000000E-008, 1.4999999859518482E+001
 4.0000000000000001E-008, 1.4999999859518473E+001
 8.0000000000000002E-008, 1.4999999859518406E+001
 9.9999999999999995E-008, 1.4999999859518418E+001
 1.0010000000000000E-007, 1.5000000016930073E+001
 1.0030000000000000E-007, 1.4999178943703541E+001
 1.0043281706034945E-007, 1.4995975851913032E+001
 1.0056432950260131E-007, 1.4987095151651369E+001
 1.0082735438710502E-007, 1.4938448936853382E+001
 1.0100000000000000E-007, 1.4876475463809850E+001
 1.0105260497690074E-007, 1.4853196139775646E+001
 1.0115781493070224E-007, 1.4806701898291289E+001
 1.0136823483830521E-007, 1.4714094310815513E+001
 1.0178907465351116E-007, 1.4530392221317948E+001
 1.0263075428392306E-007, 1.4168957554539219E+001
 1.0431411354474685E-007, 1.3469320749005467E+001
 1.0768083206639445E-007, 1.2158064552150568E+001
 1.1441426910968965E-007, 9.8520174781332788E+000
 1.2788114319628003E-007, 6.2691056036492565E+000
 1.4206214131899851E-007, 3.6582696030074380E+000
 1.5898570152101576E-007, 2.1485520519748715E+000
 1.7305403446466224E-007, 1.9111608073974828E+000
 1.8854398990654488E-007, 1.8856186004439563E+000
 2.0481835234766990E-007, 1.8847380890577430E+000
 2.3579473468331664E-007, 1.8847331048557061E+000
 2.9774749935461014E-007, 1.8847348129057948E+000
 3.7132469573509368E-007, 1.8847337144413383E+000
 4.7132469573509368E-007, 1.8847344301791071E+000
 5.7132469573509367E-007, 1.8847339153521452E+000
 6.0100000000000005E-007, 1.8847341917413407E+000
 6.0110000000000006E-007, 1.8888016446987328E+000
 6.0130000000000007E-007, 1.9054564875118889E+000
 6.0170000000000010E-007, 1.9822785374272525E+000
 6.0193065378313376E-007, 2.0424143447902368E+000
 6.0200000000000002E-007, 2.0606901682196930E+000
 6.0201145367072024E-007, 2.0637064432870553E+000
 6.0203436101216079E-007, 2.0697380420293037E+000
 6.0208017569504178E-007, 2.0817946153968041E+000
 6.0217180506080377E-007, 2.1058812252818324E+000
 6.0235506379232773E-007, 2.1539479865137374E+000
 6.0272158125537567E-007, 2.2496533678275297E+000
 6.0345461618147155E-007, 2.4393357753189031E+000
 6.0492068603366331E-007, 2.8116968342023942E+000
 6.0785282573804692E-007, 3.5281061347966256E+000
 6.1371710514681405E-007, 4.8491752204370124E+000
 6.2544566396434830E-007, 7.0800441410461055E+000
 6.3474785325881270E-007, 8.5005713862368957E+000
 6.4010904701499133E-007, 9.2017026337006111E+000
 6.4441495616892205E-007, 9.7104037975764168E+000
 6.4936519438442477E-007, 1.0241110394571555E+001
 6.5435638084159901E-007, 1.0722859994678904E+001
 6.6433875375594748E-007, 1.1548149408396084E+001
 6.8430349958464453E-007, 1.2765026259505744E+001
 7.1949854765585377E-007, 1.3991204841085246E+001
 7.5494755722153173E-007, 1.4548108298059356E+001
 8.0216707936020217E-007, 1.4852633239183643E+001
 8.5448913214148129E-007, 1.4958826949364024E+001
 9.3815187175887903E-007, 1.4997849128488220E+001
 1.0381518717588789E-006, 1.5000078590169135E+001
 1.1000000000000001E-006, 1.5000015141319446E+001
 1.1001000000000001E-006, 1.5000015266464557E+001
 1.1003000000000001E-006, 1.4999194128653308E+001
 1.1004328170603494E-006, 1.4995990993652617E+001
 1.1005643295026012E-006, 1.4987110249810289E+001
 1.1008273543871049E-006, 1.4938463943423702E+001
 1.1009999999999999E-006, 1.4876490405927267E+001
 1.1010526049769006E-006, 1.4853211061635291E+001
 1.1011578149307020E-006, 1.4806716779680791E+001
 1.1013682348383050E-006, 1.4714109111539065E+001
 1.1017890746535109E-006, 1.4530406861835543E+001
 1.1026307542839225E-006, 1.4168971879303582E+001
 1.1043141135447460E-006, 1.3469334461411188E+001
 1.1076808320663929E-006, 1.2158077115630249E+001
 1.1144142691096866E-006, 9.8520280219725969E+000
 1.1278811431962742E-006, 6.2691130156321018E+000
 1.1419897490751291E-006, 3.6684285226125910E+000
 1.1591009398326033E-006, 2.1432833454399809E+000
 1.1754682917803573E-006, 1.8914223971572734E+000
 1.1929561992262115E-006, 1.8845385788964963E+000
 1.2091770697543906E-006, 1.8847289786406254E+000
 1.2416188108107485E-006, 1.8847359762283800E+000
 1.3065022929234647E-006, 1.8847331083291361E+000
 1.3831961179436150E-006, 1.8847348033946505E+000
 1.4831961179436149E-006, 1.8847336489552702E+000
 1.5831961179436148E-006, 1.8847344753894300E+000
 1.6010000000000000E-006, 1.8847341171659540E+000
 1.6011000000000000E-006, 1.8888015708295702E+000
 1.6013000000000000E-006, 1.9054564146993951E+000
 1.6017000000000001E-006, 1.9822784655698378E+000
 1.6020000000000001E-006, 2.0604510719645641E+000
 1.6020266000000000E-006, 2.0674542433424232E+000
 1.6020798000000001E-006, 2.0814554495531925E+000
 1.6021862000000000E-006, 2.1094220798858276E+000
 1.6023990000000001E-006, 2.1652117271544222E+000
 1.6028246000000000E-006, 2.2762130185419340E+000
 1.6036757999999999E-006, 2.4958799277971395E+000
 1.6053781999999996E-006, 2.9257441441527279E+000
 1.6087829999999991E-006, 3.7472850557001016E+000
 1.6155925999999982E-006, 5.2411673287810032E+000
 1.6246410192720161E-006, 6.9398075008821385E+000
 1.6335039038932193E-006, 8.3223330214656333E+000
 1.6396030681901077E-006, 9.1354289200132257E+000
 1.6447795524535798E-006, 9.7485125844817926E+000
 1.6490395591363939E-006, 1.0205127298934867E+001
 1.6537362291202092E-006, 1.0663199769483521E+001
 1.6631295690878397E-006, 1.1455019151648914E+001
 1.6819162490231006E-006, 1.2643149303484989E+001
 1.7169178892218339E-006, 1.3930890824726841E+001
 1.7512972222763042E-006, 1.4508057640425017E+001
 1.7977893999193619E-006, 1.4836160045993870E+001
 1.8486117944554659E-006, 1.4952035991443317E+001
 1.9282751378571416E-006, 1.4996324455090953E+001
 2.0282751378571415E-006, 1.5000134623141390E+001
 2.0999999999999998E-006, 1.5000016427573209E+001
 2.1000999999999996E-006, 1.5000016550150306E+001
 2.1002999999999996E-006, 1.4999195407181180E+001
 2.1004328170603492E-006, 1.4995992268709632E+001
 2.1005897760344315E-006, 1.4984346504122946E+001
 2.1009036939825962E-006, 1.4913285265561615E+001
 2.1009999999999999E-006, 1.4875366656166447E+001
 2.1010474100514379E-006, 1.4854384813370514E+001
 2.1011422301543139E-006, 1.4812473452454515E+001
 2.1013318703600655E-006, 1.4728960259715983E+001
 2.1017111507715688E-006, 1.4563164298008308E+001
 2.1024697115945757E-006, 1.4236433287999871E+001
 2.1039868332405892E-006, 1.3601940077929132E+001
 2.1070210765326161E-006, 1.2405198363235368E+001
 2.1130895631166704E-006, 1.0274136069862639E+001
 2.1252265362847785E-006, 6.8821155417373161E+000
 2.1401321093151276E-006, 3.9405093018524777E+000
 2.1627523718405379E-006, 1.9996691086744118E+000
 2.1777174340990752E-006, 1.8913876230688829E+000
 2.1937253750810226E-006, 1.8848372588959956E+000
 2.2105911278781802E-006, 1.8847330745695605E+000
 2.2443226334724954E-006, 1.8847346589547183E+000
 2.3117856446611262E-006, 1.8847338822434019E+000
 2.3880409149255959E-006, 1.8847343012029396E+000
 2.4880409149255958E-006, 1.8847340088216218E+000
 2.5880409149255957E-006, 1.8847342174287827E+000
 2.6010000000000002E-006, 1.8847341095342298E+000
 2.6011000000000000E-006, 1.8888015632830406E+000
 2.6013000000000000E-006, 1.9054564072738061E+000
 2.6017000000000000E-006, 1.9822784582416388E+000
 2.6019999999999998E-006, 2.0604510646712608E+000
 2.6020398999999997E-006, 2.0709532856406039E+000
 2.6021196999999995E-006, 2.0919461595822324E+000
 2.6022792999999995E-006, 2.1338512904834315E+000
 2.6025984999999995E-006, 2.2173375088431411E+000
 2.6032368999999995E-006, 2.3830027568725405E+000
 2.6045136999999991E-006, 2.7090381831554065E+000
 2.6070672999999983E-006, 3.3396646135528334E+000
 2.6121744999999966E-006, 4.5156044403710069E+000
