
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=248
T,v(Vout)
 0.0000000000000000E+000, 4.9999999783600000E+000
 1.0000000000000000E-008, 4.9999999783600000E+000
 2.0000000000000000E-008, 4.9999999783601377E+000
 4.0000000000000001E-008, 4.9999999783600915E+000
 8.0000000000000002E-008, 4.9999999783599431E+000
 9.9999999999999995E-008, 4.9999999783600177E+000
 1.0010000000000000E-007, 5.0000001304058008E+000
 1.0030000000000000E-007, 4.9992760350941694E+000
 1.0043281706034945E-007, 4.9964512841968096E+000
 1.0056432950260131E-007, 4.9886334756497535E+000
 1.0082735438710502E-007, 4.9460409907962228E+000
 1.0100000000000000E-007, 4.8920052467764981E+000
 1.0105260497690074E-007, 4.8718172393739838E+000
 1.0115781493070224E-007, 4.8316530928409840E+000
 1.0136823483830521E-007, 4.7525677173431831E+000
 1.0178907465351116E-007, 4.5992389559305620E+000
 1.0263075428392306E-007, 4.3109609607395942E+000
 1.0431411354474685E-007, 3.8018672809284224E+000
 1.0768083206639445E-007, 3.0351955530743533E+000
 1.1063805300814882E-007, 2.6039421985574704E+000
 1.1430968662271609E-007, 2.2881000956967052E+000
 1.2165295385185063E-007, 2.0261346975484358E+000
 1.3071672365418654E-007, 1.9668641031253040E+000
 1.4233081022141608E-007, 1.9612562161570719E+000
 1.5872637487974803E-007, 1.9615406900248680E+000
 1.9035476520145930E-007, 1.9614659602894813E+000
 2.3321048070271511E-007, 1.9615056835010800E+000
 3.1892191170522671E-007, 1.9614791192144330E+000
 4.1892191170522671E-007, 1.9615001500935727E+000
 5.1892191170522670E-007, 1.9614831652961398E+000
 6.0100000000000005E-007, 1.9614966013280137E+000
 6.0110000000000006E-007, 1.9657205821196868E+000
 6.0130000000000007E-007, 1.9829412250899716E+000
 6.0170000000000010E-007, 2.0607542083047186E+000
 6.0193163796686005E-007, 2.1208911009812565E+000
 6.0200000000000002E-007, 2.1386456816269863E+000
 6.0201130727645340E-007, 2.1415707686433860E+000
 6.0203392182936017E-007, 2.1474153727599217E+000
 6.0207915093517360E-007, 2.1590703929047854E+000
 6.0216960914680056E-007, 2.1822442453189672E+000
 6.0235052557005449E-007, 2.2280517051444861E+000
