
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=286
T,v(Vout)
 0.0000000000000000E+000, 4.9999999039184013E+000
 1.0000000000000000E-008, 4.9999999039184004E+000
 2.0000000000000000E-008, 4.9999999039184004E+000
 4.0000000000000001E-008, 4.9999999039184004E+000
 8.0000000000000002E-008, 4.9999999039183987E+000
 9.9999999999999995E-008, 4.9999999039183995E+000
 1.0010000000000000E-007, 5.0000000570534571E+000
 1.0030000000000000E-007, 4.9992707764988005E+000
 1.0043281706034945E-007, 4.9964256989038791E+000
 1.0056432950260131E-007, 4.9885376009494440E+000
 1.0082735438710502E-007, 4.9453319826767279E+000
 1.0100000000000000E-007, 4.8902976688946769E+000
 1.0105260497690074E-007, 4.8696277225474409E+000
 1.0115781493070224E-007, 4.8283493809535907E+000
 1.0136823483830521E-007, 4.7461454073483562E+000
 1.0178907465351116E-007, 4.5831398972442514E+000
 1.0263075428392306E-007, 4.2626728628930763E+000
 1.0431411354474685E-007, 3.6466428352069546E+000
 1.0735781776646483E-007, 2.6679439778576506E+000
 1.1111636497667123E-007, 1.7733205922885957E+000
 1.1489687002235115E-007, 1.2102696998764415E+000
 1.1837452104228354E-007, 9.1085753188759222E-001
 1.2446239864465622E-007, 6.5685769286172080E-001
 1.3092279593947567E-007, 5.6987808053343081E-001
 1.3737939856465574E-007, 5.4453036458116943E-001
 1.4702773725239878E-007, 5.3524804961383610E-001
 1.6091937962832990E-007, 5.3419514471954987E-001
 1.8667276850219795E-007, 5.3431197618537263E-001
 2.3578019149545621E-007, 5.3426023443565007E-001
 3.1184806593108583E-007, 5.3429443298273616E-001
 4.0344121814537011E-007, 5.3426873212787274E-001
 5.0344121814537006E-007, 5.3428882192181326E-001
 6.0100000000000005E-007, 5.3427296624592058E-001
 6.0110000000000006E-007, 5.3521125148958870E-001
 6.0130000000000007E-007, 5.3935132464017588E-001
 6.0150659267917861E-007, 5.4838822552189348E-001
 6.0174084533455814E-007, 5.6450382006610544E-001
 6.0191628554315670E-007, 5.7913846484969433E-001
 6.0200000000000002E-007, 5.8636123876367041E-001
 6.0201644117730183E-007, 5.8777846251328847E-001
 6.0204932353190546E-007, 5.9061228547890354E-001
 6.0211508824111271E-007, 5.9627560954814385E-001
 6.0224661765952722E-007, 6.0758494976268218E-001
 6.0250967649635623E-007, 6.3013424272635576E-001
 6.0303579417001415E-007, 6.7495413613979549E-001
 6.0408802951732998E-007, 7.6347168745152982E-001
 6.0619250021196165E-007, 9.3599695437595498E-001
 6.0943196647129406E-007, 1.1898121710678156E+000
 6.1288580872666837E-007, 1.4447678436966522E+000
 6.1979349323741686E-007, 1.9087087530008884E+000
 6.3360886225891385E-007, 2.6732212017794494E+000
 6.5198347268369264E-007, 3.4145543119742823E+000
 6.7093068811430407E-007, 3.9349939085467027E+000
 6.8658651828121719E-007, 4.2332521893945243E+000
 7.0191609612850861E-007, 4.4445749529402656E+000
 7.1300834546488576E-007, 4.5598569241094635E+000
 7.2853838341786369E-007, 4.6827467071048892E+000
 7.5939618648345286E-007, 4.8375420018551427E+000
 8.2111179261463121E-007, 4.9650535672649436E+000
 9.1548365388531657E-007, 4.9997929276919804E+000
 1.0154836538853165E-006, 5.0000046815029426E+000
 1.1000000000000001E-006, 5.0000001959985294E+000
 1.1001000000000001E-006, 5.0000003485097873E+000
 1.1003000000000001E-006, 4.9992710667073128E+000
 1.1004328170603494E-006, 4.9964259882765276E+000
 1.1005643295026012E-006, 4.9885378894744372E+000
 1.1008273543871049E-006, 4.9453322693923889E+000
 1.1009999999999999E-006, 4.8902979543098919E+000
 1.1010526049769006E-006, 4.8696280075501424E+000
 1.1011578149307020E-006, 4.8283496651323237E+000
 1.1013682348383050E-006, 4.7461456898859504E+000
 1.1017890746535109E-006, 4.5831401765261921E+000
 1.1026307542839225E-006, 4.2626731357657377E+000
 1.1043141135447460E-006, 3.6466430915900703E+000
 1.1073578185636888E-006, 2.6679439618611518E+000
 1.1111163642809110E-006, 1.7733208668800629E+000
 1.1148271362495262E-006, 1.2183642152739205E+000
 1.1182607405984693E-006, 9.1852572016483580E-001
 1.1243898205471834E-006, 6.5830077027711420E-001
 1.1308384142801757E-006, 5.7040641605851183E-001
 1.1371248538275996E-006, 5.4512344241939625E-001
 1.1467952087388344E-006, 5.3529207401402956E-001
 1.1604845242111955E-006, 5.3419865937934907E-001
 1.1861152114955977E-006, 5.3431048484654609E-001
 1.2336540673859722E-006, 5.3426146469512548E-001
 1.3104369514473699E-006, 5.3429356973624142E-001
 1.4003006715164753E-006, 5.3426945293802164E-001
 1.5003006715164752E-006, 5.3428825155829973E-001
 1.6010000000000000E-006, 5.3427336539115156E-001
 1.6011000000000000E-006, 5.3521164477910954E-001
 1.6013000000000000E-006, 5.3935170805876509E-001
 1.6015065926937232E-006, 5.4838860332266814E-001
 1.6017511037325764E-006, 5.6529485654013312E-001
 1.6019876831916797E-006, 5.8510071416577225E-001
 1.6020000000000001E-006, 5.8616283542637260E-001
 1.6020066972770962E-006, 5.8674025725742718E-001
 1.6020200918312883E-006, 5.8789499733894268E-001
 1.6020468809396728E-006, 5.9020376078981163E-001
 1.6021004591564416E-006, 5.9481841942191238E-001
 1.6022076155899793E-006, 6.0403625246672632E-001
 1.6024219284570546E-006, 6.2242589611620858E-001
 1.6028505541912053E-006, 6.5902045941535881E-001
 1.6037078056595069E-006, 7.3146632111600007E-001
 1.6054223085961100E-006, 8.7336583781970667E-001
 1.6088513144693161E-006, 1.1451813255072947E+000
 1.6125034276885870E-006, 1.4171574936924103E+000
 1.6197026394765385E-006, 1.9029329091208926E+000
 1.6341010630524414E-006, 2.6971394863650318E+000
 1.6532479284468386E-006, 3.4568288999924031E+000
 1.6724237034111055E-006, 3.9692341792746335E+000
 1.6881790591870974E-006, 4.2600802056379550E+000
 1.7035203714322170E-006, 4.4641777249558690E+000
 1.7161281732855071E-006, 4.5888373077516400E+000
 1.7315292402273704E-006, 4.7028304197719715E+000
 1.7623313741110970E-006, 4.8476391227711906E+000
 1.8239356418785502E-006, 4.9670971131642219E+000
 1.9239356418785501E-006, 5.0007580276325374E+000
 2.0239356418785500E-006, 4.9999823970217241E+000
 2.0999999999999998E-006, 4.9999979222347859E+000
 2.1000999999999996E-006, 4.9999980794997514E+000
 2.1002999999999996E-006, 4.9992688072102780E+000
 2.1004328170603492E-006, 4.9964237351571930E+000
 2.1005643295026013E-006, 4.9885356428289374E+000
 2.1008273543871053E-006, 4.9453300365915362E+000
 2.1009999999999999E-006, 4.8902957314816682E+000
 2.1010526049769006E-006, 4.8696257878887632E+000
 2.1011578149307020E-006, 4.8283474517977876E+000
 2.1013682348383052E-006, 4.7461434891600529E+000
 2.1017890746535117E-006, 4.5831380008396012E+000
 2.1026307542839246E-006, 4.2626710094641727E+000
 2.1043141135447499E-006, 3.6466410929796349E+000
 2.1073578123469165E-006, 2.6679440861537920E+000
 2.1112624689730226E-006, 1.7456436018248753E+000
 2.1149922836649278E-006, 1.1997839265030923E+000
 2.1184807777282859E-006, 9.0410019484132176E-001
 2.1245725716186357E-006, 6.5446909721215052E-001
 2.1310436329424761E-006, 5.6908470220652707E-001
 2.1376529099795500E-006, 5.4392713672983006E-001
 2.1472876320699829E-006, 5.3519759712848569E-001
 2.1614218688209476E-006, 5.3419168964020436E-001
 2.1873774349816427E-006, 5.3431357391987899E-001
 2.2382432645097976E-006, 5.3425888609336292E-001
 2.3136271151847666E-006, 5.3429537860843523E-001
 2.4071771592180570E-006, 5.3426793511264081E-001
 2.5071771592180569E-006, 5.3428945258514537E-001
 2.6010000000000002E-006, 5.3427254197535456E-001
 2.6011000000000000E-006, 5.3521083344287823E-001
 2.6013000000000000E-006, 5.3935091708530070E-001
 2.6015065926637174E-006, 5.4838782393842833E-001
