
Label=v(Vout6) vs T
LabelX=T
LabelY=v(Vout6)
Data Point Count=1035
T,v(Vout6)
 0.0000000000000000E+000, 2.3502466959835147E+000
 2.0000000000000003E-006, 2.3502466959818484E+000
 4.0000000000000007E-006, 2.3502466959535582E+000
 8.0000000000000013E-006, 2.3502466958694717E+000
 1.6000000000000003E-005, 2.3502467153419597E+000
 3.2000000000000005E-005, 2.3502466389323047E+000
 5.2000000000000004E-005, 2.3502468275266946E+000
 7.2000000000000002E-005, 2.3502463928031569E+000
 9.2000000000000000E-005, 2.3502473948725870E+000
 1.1200000000000000E-004, 2.3502450850288334E+000
 1.3200000000000001E-004, 2.3502504093886070E+000
 1.5200000000000001E-004, 2.3502381363438722E+000
 1.7200000000000001E-004, 2.3502664266073086E+000
 1.9200000000000000E-004, 2.3502012153961811E+000
 2.1154684207508459E-004, 2.3503538406163473E+000
 2.3044208433899323E-004, 2.3499856707854470E+000
 2.4871005769016696E-004, 2.3509052562901385E+000
 2.6629057135594885E-004, 2.3485137972341961E+000
 2.8319906213369509E-004, 2.3550161538317220E+000
 2.9944855196193076E-004, 2.3364626246921660E+000
 3.1505390513430397E-004, 2.3923117355264418E+000
 3.3004173501472556E-004, 2.2148708535432666E+000
 3.4443136637936952E-004, 2.8205662770048856E+000
 3.5827273773061724E-004, 4.2593023482606829E-001
 3.5869409809817211E-004, 4.1528759785295793E-001
 3.5953681883328187E-004, 4.0073224164907040E-001
 3.6088732756684306E-004, 3.7887140241408263E-001
 3.6221391191558510E-004, 3.5848995419786617E-001
 3.6486708061306912E-004, 3.2143504232204362E-001
 3.6553037278744011E-004, 3.1283383938800835E-001
 3.6685695713618215E-004, 2.9614019769883643E-001
 3.6718860322336764E-004, 2.9210217695163099E-001
 3.6785189539773863E-004, 2.8406554528461836E-001
 3.6801771844133138E-004, 2.8206902675672185E-001
 3.6834936452851688E-004, 2.7806141041822746E-001
 3.6901265670288787E-004, 2.6973424780473304E-001
 3.6913354189087072E-004, 2.6803894063182743E-001
 3.6916376318786641E-004, 2.6759087979081281E-001
 3.6922420578185784E-004, 2.6660920930611204E-001
 3.6923931643035571E-004, 2.6632492021239085E-001
 3.6926953772735139E-004, 2.6570569939994160E-001
 3.6932998032134282E-004, 2.6358421361318518E-001
 3.6934509096984069E-004, 2.6245688993742422E-001
 3.6937531226683638E-004, 2.5664453818381794E-001
 3.6938055181511226E-004, 2.5431785208997276E-001
 3.6939103091166402E-004, 2.4673562625913362E-001
 3.6940151044090433E-004, 2.4575357176203455E-001
 3.6941112315932257E-004, 3.8604915436471021E-001
 3.6941929273021394E-004, 8.7133182506255380E-001
 3.6942597822552353E-004, 1.5504795160604752E+000
 3.6943196688965133E-004, 2.1967343485123414E+000
 3.6943821729253535E-004, 2.7582050960911797E+000
 3.6944652826698858E-004, 3.2565537032886103E+000
 3.6945613400228615E-004, 3.5650819124529511E+000
 3.6947193429683474E-004, 3.7668945039370061E+000
 3.6949297777726803E-004, 3.8238408024861514E+000
 3.6952051318996066E-004, 3.8309395225890714E+000
 3.6956289535500410E-004, 3.8329074691496348E+000
 3.6964765968509097E-004, 3.8375588609531897E+000
 3.6981718834526472E-004, 3.8465330562964999E+000
 3.7015624566561221E-004, 3.8643767270971270E+000
 3.7083436030630720E-004, 3.8988708138266746E+000
 3.7219058958769724E-004, 3.9640364078426367E+000
 3.7490304815047731E-004, 4.0803818444077207E+000
 3.8032796527603740E-004, 4.2692763734311612E+000
 3.9117779952715763E-004, 4.5296046985371516E+000
 3.9233817873450804E-004, 4.5506232414635290E+000
 3.9262827353634566E-004, 4.5558834149297063E+000
 3.9320846314002089E-004, 4.5665045053918911E+000
 3.9335351054093970E-004, 4.5692043608028383E+000
 3.9364360534277731E-004, 4.5748473980759226E+000
 3.9371612904323672E-004, 4.5764551309200447E+000
 3.9373425996835156E-004, 4.5768720847734476E+000
 3.9377052181858123E-004, 4.5777463212846179E+000
