
Label=V(Out3) vs V(V3)
LabelX=V(V3)
LabelY=V(Out3)
Data Point Count=209
V(V3),V(V3),V(Out3)
-5.0000000000000000E+000,-5.0000000000000000E+000,-4.5154064837165340E+000
-4.9995000000000003E+000,-4.9995000000000003E+000,-4.5153715821314995E+000
-4.9990000000000006E+000,-4.9990000000000006E+000,-4.5153311238194336E+000
-4.9985000000000008E+000,-4.9985000000000008E+000,-4.5152932145274036E+000
-4.9975000000000005E+000,-4.9975000000000005E+000,-4.5152246187924217E+000
-4.9955000000000007E+000,-4.9955000000000007E+000,-4.5150962913096127E+000
-4.9915000000000012E+000,-4.9915000000000012E+000,-4.5149281398175765E+000
-4.9835000000000012E+000,-4.9835000000000012E+000,-4.5148339297051834E+000
-4.9675000000000011E+000,-4.9675000000000011E+000,-4.5147303351284309E+000
-4.9355000000000011E+000,-4.9355000000000011E+000,-4.5145078442098194E+000
-4.8855000000000013E+000,-4.8855000000000013E+000,-4.5141631603167074E+000
-4.8355000000000015E+000,-4.8355000000000015E+000,-4.5138203156284060E+000
-4.7855000000000016E+000,-4.7855000000000016E+000,-4.5134692298054189E+000
-4.7355000000000018E+000,-4.7355000000000018E+000,-4.5131134866676028E+000
-4.6855000000000020E+000,-4.6855000000000020E+000,-4.5127567476131274E+000
-4.6355000000000022E+000,-4.6355000000000022E+000,-4.5123880220258794E+000
-4.5855000000000024E+000,-4.5855000000000024E+000,-4.5120200052228032E+000
-4.5355000000000025E+000,-4.5355000000000025E+000,-4.5116457015862776E+000
-4.4855000000000027E+000,-4.4855000000000027E+000,-4.5112735755728375E+000
-4.4355000000000029E+000,-4.4355000000000029E+000,-4.5108954395901355E+000
-4.3855000000000031E+000,-4.3855000000000031E+000,-4.5105095761117786E+000
-4.3355000000000032E+000,-4.3355000000000032E+000,-4.5101201748779536E+000
-4.2855000000000034E+000,-4.2855000000000034E+000,-4.5097265881134616E+000
-4.2355000000000036E+000,-4.2355000000000036E+000,-4.5093223890861376E+000
-4.1855000000000038E+000,-4.1855000000000038E+000,-4.5089214458846998E+000
-4.1355000000000040E+000,-4.1355000000000040E+000,-4.5085069861381468E+000
-4.0855000000000041E+000,-4.0855000000000041E+000,-4.5080926056895114E+000
-4.0355000000000043E+000,-4.0355000000000043E+000,-4.5076655783833486E+000
-3.9855000000000045E+000,-3.9855000000000045E+000,-4.5072440765476935E+000
-3.9355000000000047E+000,-3.9355000000000047E+000,-4.5068046716320209E+000
-3.8855000000000048E+000,-3.8855000000000048E+000,-4.5063672893321325E+000
-3.8355000000000050E+000,-3.8355000000000050E+000,-4.5059237004824046E+000
-3.7855000000000052E+000,-3.7855000000000052E+000,-4.5054696806866570E+000
-3.7355000000000054E+000,-3.7355000000000054E+000,-4.5050095113270938E+000
-3.6855000000000055E+000,-3.6855000000000055E+000,-4.5045431265912574E+000
-3.6355000000000057E+000,-3.6355000000000057E+000,-4.5040692238639837E+000
-3.5855000000000059E+000,-3.5855000000000059E+000,-4.5035933376658317E+000
-3.5355000000000061E+000,-3.5355000000000061E+000,-4.5031017550344519E+000
-3.4855000000000063E+000,-3.4855000000000063E+000,-4.5026035538808928E+000
-3.4355000000000064E+000,-3.4355000000000064E+000,-4.5021028418584326E+000
-3.3855000000000066E+000,-3.3855000000000066E+000,-4.5015875682696507E+000
-3.3355000000000068E+000,-3.3355000000000068E+000,-4.5010690147467951E+000
-3.2855000000000070E+000,-3.2855000000000070E+000,-4.5005349025782788E+000
-3.2355000000000071E+000,-3.2355000000000071E+000,-4.4999939319594890E+000
-3.1855000000000073E+000,-3.1855000000000073E+000,-4.4994512400247064E+000
-3.1355000000000075E+000,-3.1355000000000075E+000,-4.4988896972443841E+000
-3.0855000000000077E+000,-3.0855000000000077E+000,-4.4983146926067175E+000
-3.0355000000000079E+000,-3.0355000000000079E+000,-4.4977369413255390E+000
-2.9855000000000080E+000,-2.9855000000000080E+000,-4.4971424254422763E+000
-2.9355000000000082E+000,-2.9355000000000082E+000,-4.4965396173875938E+000
-2.8855000000000084E+000,-2.8855000000000084E+000,-4.4959277307237437E+000
-2.8355000000000086E+000,-2.8355000000000086E+000,-4.4952950592057617E+000
-2.7855000000000087E+000,-2.7855000000000087E+000,-4.4946534878365565E+000
-2.7355000000000089E+000,-2.7355000000000089E+000,-4.4939948537199834E+000
-2.6855000000000091E+000,-2.6855000000000091E+000,-4.4933285688305045E+000
-2.6355000000000093E+000,-2.6355000000000093E+000,-4.4926415128268307E+000
-2.5855000000000095E+000,-2.5855000000000095E+000,-4.4919382938355135E+000
-2.5355000000000096E+000,-2.5355000000000096E+000,-4.4912281153577842E+000
-2.4855000000000098E+000,-2.4855000000000098E+000,-4.4904864312017594E+000
-2.4355000000000100E+000,-2.4355000000000100E+000,-4.4897375931521513E+000
-2.3855000000000102E+000,-2.3855000000000102E+000,-4.4889643067370750E+000
-2.3355000000000103E+000,-2.3355000000000103E+000,-4.4881682673875316E+000
-2.2855000000000105E+000,-2.2855000000000105E+000,-4.4873527519652177E+000
-2.2355000000000107E+000,-2.2355000000000107E+000,-4.4865166449249712E+000
-2.1855000000000109E+000,-2.1855000000000109E+000,-4.4856535422744885E+000
-2.1355000000000111E+000,-2.1355000000000111E+000,-4.4847656372802849E+000
-2.0855000000000112E+000,-2.0855000000000112E+000,-4.4838499710175421E+000
-2.0355000000000114E+000,-2.0355000000000114E+000,-4.4829130075664594E+000
-1.9855000000000114E+000,-1.9855000000000114E+000,-4.4819372696621453E+000
-1.9355000000000113E+000,-1.9355000000000113E+000,-4.4809352930562163E+000
-1.8855000000000113E+000,-1.8855000000000113E+000,-4.4798961554342931E+000
-1.8355000000000112E+000,-1.8355000000000112E+000,-4.4788117287819524E+000
-1.7855000000000112E+000,-1.7855000000000112E+000,-4.4776977628525199E+000
-1.7355000000000111E+000,-1.7355000000000111E+000,-4.4765356403813401E+000
-1.6855000000000111E+000,-1.6855000000000111E+000,-4.4753278152756790E+000
-1.6355000000000111E+000,-1.6355000000000111E+000,-4.4740690885075516E+000
-1.5855000000000110E+000,-1.5855000000000110E+000,-4.4727568066211036E+000
-1.5355000000000110E+000,-1.5355000000000110E+000,-4.4713846525923557E+000
-1.4855000000000109E+000,-1.4855000000000109E+000,-4.4699491540188649E+000
-1.4355000000000109E+000,-1.4355000000000109E+000,-4.4684369970660685E+000
-1.3855000000000108E+000,-1.3855000000000108E+000,-4.4668487555600596E+000
-1.3355000000000108E+000,-1.3355000000000108E+000,-4.4651688404781504E+000
-1.2855000000000107E+000,-1.2855000000000107E+000,-4.4633962927791817E+000
-1.2355000000000107E+000,-1.2355000000000107E+000,-4.4615144776317148E+000
-1.1855000000000107E+000,-1.1855000000000107E+000,-4.4595010205837315E+000
-1.1355000000000106E+000,-1.1355000000000106E+000,-4.4573601746086124E+000
-1.0855000000000106E+000,-1.0855000000000106E+000,-4.4550555271648307E+000
-1.0355000000000105E+000,-1.0355000000000105E+000,-4.4525734062499778E+000
-9.8550000000001048E-001,-9.8550000000001048E-001,-4.4498777754785710E+000
-9.3550000000001043E-001,-9.3550000000001043E-001,-4.4469304325785659E+000
-8.8550000000001039E-001,-8.8550000000001039E-001,-4.4437051626680057E+000
-8.3550000000001035E-001,-8.3550000000001035E-001,-4.4401229206659032E+000
-7.8550000000001030E-001,-7.8550000000001030E-001,-4.4361313858296878E+000
-7.3550000000001026E-001,-7.3550000000001026E-001,-4.4316147911722794E+000
