
Label=dB(v(Out)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out)/(V(Vid1)-V(Vid2))),dB(v(Out)/(V(Vid1)-V(Vid2)))
1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000,-4.4685538408636269E+001, 0.0000000000000000E+000
1.0092528860766845E+002, 1.0092528860766845E+002, 0.0000000000000000E+000,-4.4685538409926899E+001, 0.0000000000000000E+000
1.0185913880541170E+002, 1.0185913880541170E+002, 0.0000000000000000E+000,-4.4685538411244536E+001, 0.0000000000000000E+000
1.0280162981264738E+002, 1.0280162981264738E+002, 0.0000000000000000E+000,-4.4685538412585714E+001, 0.0000000000000000E+000
1.0375284158180129E+002, 1.0375284158180129E+002, 0.0000000000000000E+000,-4.4685538413952912E+001, 0.0000000000000000E+000
1.0471285480508999E+002, 1.0471285480508999E+002, 0.0000000000000000E+000,-4.4685538415345391E+001, 0.0000000000000000E+000
1.0568175092136589E+002, 1.0568175092136589E+002, 0.0000000000000000E+000,-4.4685538416763002E+001, 0.0000000000000000E+000
1.0665961212302584E+002, 1.0665961212302584E+002, 0.0000000000000000E+000,-4.4685538418204835E+001, 0.0000000000000000E+000
1.0764652136298355E+002, 1.0764652136298355E+002, 0.0000000000000000E+000,-4.4685538419676469E+001, 0.0000000000000000E+000
1.0864256236170662E+002, 1.0864256236170662E+002, 0.0000000000000000E+000,-4.4685538421175877E+001, 0.0000000000000000E+000
1.0964781961431859E+002, 1.0964781961431859E+002, 0.0000000000000000E+000,-4.4685538422701782E+001, 0.0000000000000000E+000
1.1066237839776673E+002, 1.1066237839776673E+002, 0.0000000000000000E+000,-4.4685538424254538E+001, 0.0000000000000000E+000
1.1168632477805622E+002, 1.1168632477805622E+002, 0.0000000000000000E+000,-4.4685538425838239E+001, 0.0000000000000000E+000
1.1271974561755115E+002, 1.1271974561755115E+002, 0.0000000000000000E+000,-4.4685538427451434E+001, 0.0000000000000000E+000
1.1376272858234321E+002, 1.1376272858234321E+002, 0.0000000000000000E+000,-4.4685538429094890E+001, 0.0000000000000000E+000
