
Label=dB(v(Out)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out)/(V(Vid1)-V(Vid2))),dB(v(Out)/(V(Vid1)-V(Vid2)))
1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000, 2.7467256344764614E+001, 0.0000000000000000E+000
1.0092528860766845E+002, 1.0092528860766845E+002, 0.0000000000000000E+000, 2.7467256343087033E+001, 0.0000000000000000E+000
1.0185913880541170E+002, 1.0185913880541170E+002, 0.0000000000000000E+000, 2.7467256341378206E+001, 0.0000000000000000E+000
1.0280162981264738E+002, 1.0280162981264738E+002, 0.0000000000000000E+000, 2.7467256339638713E+001, 0.0000000000000000E+000
1.0375284158180129E+002, 1.0375284158180129E+002, 0.0000000000000000E+000, 2.7467256337865770E+001, 0.0000000000000000E+000
1.0471285480508999E+002, 1.0471285480508999E+002, 0.0000000000000000E+000, 2.7467256336059982E+001, 0.0000000000000000E+000
1.0568175092136589E+002, 1.0568175092136589E+002, 0.0000000000000000E+000, 2.7467256334221396E+001, 0.0000000000000000E+000
1.0665961212302584E+002, 1.0665961212302584E+002, 0.0000000000000000E+000, 2.7467256332347667E+001, 0.0000000000000000E+000
1.0764652136298355E+002, 1.0764652136298355E+002, 0.0000000000000000E+000, 2.7467256330439312E+001, 0.0000000000000000E+000
1.0864256236170662E+002, 1.0864256236170662E+002, 0.0000000000000000E+000, 2.7467256328494919E+001, 0.0000000000000000E+000
1.0964781961431859E+002, 1.0964781961431859E+002, 0.0000000000000000E+000, 2.7467256326515930E+001, 0.0000000000000000E+000
1.1066237839776673E+002, 1.1066237839776673E+002, 0.0000000000000000E+000, 2.7467256324498500E+001, 0.0000000000000000E+000
1.1168632477805622E+002, 1.1168632477805622E+002, 0.0000000000000000E+000, 2.7467256322444502E+001, 0.0000000000000000E+000
1.1271974561755115E+002, 1.1271974561755115E+002, 0.0000000000000000E+000, 2.7467256320352448E+001, 0.0000000000000000E+000
1.1376272858234321E+002, 1.1376272858234321E+002, 0.0000000000000000E+000, 2.7467256318221338E+001, 0.0000000000000000E+000
1.1481536214968841E+002, 1.1481536214968841E+002, 0.0000000000000000E+000, 2.7467256316050563E+001, 0.0000000000000000E+000
1.1587773561551275E+002, 1.1587773561551275E+002, 0.0000000000000000E+000, 2.7467256313839567E+001, 0.0000000000000000E+000
1.1694993910198725E+002, 1.1694993910198725E+002, 0.0000000000000000E+000, 2.7467256311587231E+001, 0.0000000000000000E+000
1.1803206356517313E+002, 1.1803206356517313E+002, 0.0000000000000000E+000, 2.7467256309292484E+001, 0.0000000000000000E+000
1.1912420080273766E+002, 1.1912420080273766E+002, 0.0000000000000000E+000, 2.7467256306955633E+001, 0.0000000000000000E+000
1.2022644346174148E+002, 1.2022644346174148E+002, 0.0000000000000000E+000, 2.7467256304575503E+001, 0.0000000000000000E+000
1.2133888504649792E+002, 1.2133888504649792E+002, 0.0000000000000000E+000, 2.7467256302150950E+001, 0.0000000000000000E+000
1.2246161992650508E+002, 1.2246161992650508E+002, 0.0000000000000000E+000, 2.7467256299681711E+001, 0.0000000000000000E+000
1.2359474334445127E+002, 1.2359474334445127E+002, 0.0000000000000000E+000, 2.7467256297166127E+001, 0.0000000000000000E+000
1.2473835142429455E+002, 1.2473835142429455E+002, 0.0000000000000000E+000, 2.7467256294603413E+001, 0.0000000000000000E+000
1.2589254117941698E+002, 1.2589254117941698E+002, 0.0000000000000000E+000, 2.7467256291993294E+001, 0.0000000000000000E+000
1.2705741052085443E+002, 1.2705741052085443E+002, 0.0000000000000000E+000, 2.7467256289335428E+001, 0.0000000000000000E+000
1.2823305826560244E+002, 1.2823305826560244E+002, 0.0000000000000000E+000, 2.7467256286627091E+001, 0.0000000000000000E+000
1.2941958414499891E+002, 1.2941958414499891E+002, 0.0000000000000000E+000, 2.7467256283868352E+001, 0.0000000000000000E+000
1.3061708881318447E+002, 1.3061708881318447E+002, 0.0000000000000000E+000, 2.7467256281059313E+001, 0.0000000000000000E+000
1.3182567385564104E+002, 1.3182567385564104E+002, 0.0000000000000000E+000, 2.7467256278196718E+001, 0.0000000000000000E+000
1.3304544179780945E+002, 1.3304544179780945E+002, 0.0000000000000000E+000, 2.7467256275282445E+001, 0.0000000000000000E+000
1.3427649611378675E+002, 1.3427649611378675E+002, 0.0000000000000000E+000, 2.7467256272313186E+001, 0.0000000000000000E+000
1.3551894123510399E+002, 1.3551894123510399E+002, 0.0000000000000000E+000, 2.7467256269288910E+001, 0.0000000000000000E+000
1.3677288255958533E+002, 1.3677288255958533E+002, 0.0000000000000000E+000, 2.7467256266208619E+001, 0.0000000000000000E+000
1.3803842646028892E+002, 1.3803842646028892E+002, 0.0000000000000000E+000, 2.7467256263071263E+001, 0.0000000000000000E+000
1.3931568029453075E+002, 1.3931568029453075E+002, 0.0000000000000000E+000, 2.7467256259874361E+001, 0.0000000000000000E+000
1.4060475241299184E+002, 1.4060475241299184E+002, 0.0000000000000000E+000, 2.7467256256618249E+001, 0.0000000000000000E+000
