
Label=dB(v(Out3)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out3)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out3)/(V(Vid1)-V(Vid2))),dB(v(Out3)/(V(Vid1)-V(Vid2)))
1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000,-1.3665484162811909E+001, 0.0000000000000000E+000
1.0092528860766845E+002, 1.0092528860766845E+002, 0.0000000000000000E+000,-1.3665482183349550E+001, 0.0000000000000000E+000
1.0185913880541170E+002, 1.0185913880541170E+002, 0.0000000000000000E+000,-1.3665480245825146E+001, 0.0000000000000000E+000
1.0280162981264738E+002, 1.0280162981264738E+002, 0.0000000000000000E+000,-1.3665478340969443E+001, 0.0000000000000000E+000
1.0375284158180129E+002, 1.0375284158180129E+002, 0.0000000000000000E+000,-1.3665476466246769E+001, 0.0000000000000000E+000
1.0471285480508999E+002, 1.0471285480508999E+002, 0.0000000000000000E+000,-1.3665474633240011E+001, 0.0000000000000000E+000
1.0568175092136589E+002, 1.0568175092136589E+002, 0.0000000000000000E+000,-1.3665472833071195E+001, 0.0000000000000000E+000
1.0665961212302584E+002, 1.0665961212302584E+002, 0.0000000000000000E+000,-1.3665471063231481E+001, 0.0000000000000000E+000
1.0764652136298355E+002, 1.0764652136298355E+002, 0.0000000000000000E+000,-1.3665469325144180E+001, 0.0000000000000000E+000
1.0864256236170662E+002, 1.0864256236170662E+002, 0.0000000000000000E+000,-1.3665467618240939E+001, 0.0000000000000000E+000
1.0964781961431859E+002, 1.0964781961431859E+002, 0.0000000000000000E+000,-1.3665465943782602E+001, 0.0000000000000000E+000
1.1066237839776673E+002, 1.1066237839776673E+002, 0.0000000000000000E+000,-1.3665464301125043E+001, 0.0000000000000000E+000
1.1168632477805622E+002, 1.1168632477805622E+002, 0.0000000000000000E+000,-1.3665462686129191E+001, 0.0000000000000000E+000
1.1271974561755115E+002, 1.1271974561755115E+002, 0.0000000000000000E+000,-1.3665461100088425E+001, 0.0000000000000000E+000
1.1376272858234321E+002, 1.1376272858234321E+002, 0.0000000000000000E+000,-1.3665459547560186E+001, 0.0000000000000000E+000
1.1481536214968841E+002, 1.1481536214968841E+002, 0.0000000000000000E+000,-1.3665458019456111E+001, 0.0000000000000000E+000
1.1587773561551275E+002, 1.1587773561551275E+002, 0.0000000000000000E+000,-1.3665456521990905E+001, 0.0000000000000000E+000
1.1694993910198725E+002, 1.1694993910198725E+002, 0.0000000000000000E+000,-1.3665455046495911E+001, 0.0000000000000000E+000
1.1803206356517313E+002, 1.1803206356517313E+002, 0.0000000000000000E+000,-1.3665453602184794E+001, 0.0000000000000000E+000
1.1912420080273766E+002, 1.1912420080273766E+002, 0.0000000000000000E+000,-1.3665452186781231E+001, 0.0000000000000000E+000
1.2022644346174148E+002, 1.2022644346174148E+002, 0.0000000000000000E+000,-1.3665450793608130E+001, 0.0000000000000000E+000
1.2133888504649792E+002, 1.2133888504649792E+002, 0.0000000000000000E+000,-1.3665449428327728E+001, 0.0000000000000000E+000
1.2246161992650508E+002, 1.2246161992650508E+002, 0.0000000000000000E+000,-1.3665448084496534E+001, 0.0000000000000000E+000
1.2359474334445127E+002, 1.2359474334445127E+002, 0.0000000000000000E+000,-1.3665446767575265E+001, 0.0000000000000000E+000
1.2473835142429455E+002, 1.2473835142429455E+002, 0.0000000000000000E+000,-1.3665445472760693E+001, 0.0000000000000000E+000
1.2589254117941698E+002, 1.2589254117941698E+002, 0.0000000000000000E+000,-1.3665444203852415E+001, 0.0000000000000000E+000
1.2705741052085443E+002, 1.2705741052085443E+002, 0.0000000000000000E+000,-1.3665442957582819E+001, 0.0000000000000000E+000
1.2823305826560244E+002, 1.2823305826560244E+002, 0.0000000000000000E+000,-1.3665441736213751E+001, 0.0000000000000000E+000
1.2941958414499891E+002, 1.2941958414499891E+002, 0.0000000000000000E+000,-1.3665440532667816E+001, 0.0000000000000000E+000
1.3061708881318447E+002, 1.3061708881318447E+002, 0.0000000000000000E+000,-1.3665439351912688E+001, 0.0000000000000000E+000
1.3182567385564104E+002, 1.3182567385564104E+002, 0.0000000000000000E+000,-1.3665438197274183E+001, 0.0000000000000000E+000
1.3304544179780945E+002, 1.3304544179780945E+002, 0.0000000000000000E+000,-1.3665437059452008E+001, 0.0000000000000000E+000
1.3427649611378675E+002, 1.3427649611378675E+002, 0.0000000000000000E+000,-1.3665435943136345E+001, 0.0000000000000000E+000
1.3551894123510399E+002, 1.3551894123510399E+002, 0.0000000000000000E+000,-1.3665434847907092E+001, 0.0000000000000000E+000
1.3677288255958533E+002, 1.3677288255958533E+002, 0.0000000000000000E+000,-1.3665433773351996E+001, 0.0000000000000000E+000
1.3803842646028892E+002, 1.3803842646028892E+002, 0.0000000000000000E+000,-1.3665432717911234E+001, 0.0000000000000000E+000
1.3931568029453075E+002, 1.3931568029453075E+002, 0.0000000000000000E+000,-1.3665431682379694E+001, 0.0000000000000000E+000
1.4060475241299184E+002, 1.4060475241299184E+002, 0.0000000000000000E+000,-1.3665430666359997E+001, 0.0000000000000000E+000
1.4190575216890969E+002, 1.4190575216890969E+002, 0.0000000000000000E+000,-1.3665429668386459E+001, 0.0000000000000000E+000
1.4321878992735483E+002, 1.4321878992735483E+002, 0.0000000000000000E+000,-1.3665428688138103E+001, 0.0000000000000000E+000
1.4454397707459327E+002, 1.4454397707459327E+002, 0.0000000000000000E+000,-1.3665427725313620E+001, 0.0000000000000000E+000
1.4588142602753538E+002, 1.4588142602753538E+002, 0.0000000000000000E+000,-1.3665426780626227E+001, 0.0000000000000000E+000
1.4723125024327246E+002, 1.4723125024327246E+002, 0.0000000000000000E+000,-1.3665425852717473E+001, 0.0000000000000000E+000
1.4859356422870130E+002, 1.4859356422870130E+002, 0.0000000000000000E+000,-1.3665424943274530E+001, 0.0000000000000000E+000
1.4996848355023798E+002, 1.4996848355023798E+002, 0.0000000000000000E+000,-1.3665424049950497E+001, 0.0000000000000000E+000
1.5135612484362147E+002, 1.5135612484362147E+002, 0.0000000000000000E+000,-1.3665423172470897E+001, 0.0000000000000000E+000
1.5275660582380794E+002, 1.5275660582380794E+002, 0.0000000000000000E+000,-1.3665422311490724E+001, 0.0000000000000000E+000
1.5417004529495665E+002, 1.5417004529495665E+002, 0.0000000000000000E+000,-1.3665421466697170E+001, 0.0000000000000000E+000
1.5559656316050817E+002, 1.5559656316050817E+002, 0.0000000000000000E+000,-1.3665420635953335E+001, 0.0000000000000000E+000
1.5703628043335598E+002, 1.5703628043335598E+002, 0.0000000000000000E+000,-1.3665419823495332E+001, 0.0000000000000000E+000
1.5848931924611210E+002, 1.5848931924611210E+002, 0.0000000000000000E+000,-1.3665419024517584E+001, 0.0000000000000000E+000
1.5995580286146765E+002, 1.5995580286146765E+002, 0.0000000000000000E+000,-1.3665418239663232E+001, 0.0000000000000000E+000
1.6143585568264942E+002, 1.6143585568264942E+002, 0.0000000000000000E+000,-1.3665417469540177E+001, 0.0000000000000000E+000
1.6292960326397306E+002, 1.6292960326397306E+002, 0.0000000000000000E+000,-1.3665416713858908E+001, 0.0000000000000000E+000
1.6443717232149402E+002, 1.6443717232149402E+002, 0.0000000000000000E+000,-1.3665415970714472E+001, 0.0000000000000000E+000
1.6595869074375693E+002, 1.6595869074375693E+002, 0.0000000000000000E+000,-1.3665415241518094E+001, 0.0000000000000000E+000
1.6749428760264462E+002, 1.6749428760264462E+002, 0.0000000000000000E+000,-1.3665414527555109E+001, 0.0000000000000000E+000
1.6904409316432731E+002, 1.6904409316432731E+002, 0.0000000000000000E+000,-1.3665413825409715E+001, 0.0000000000000000E+000
1.7060823890031327E+002, 1.7060823890031327E+002, 0.0000000000000000E+000,-1.3665413136416431E+001, 0.0000000000000000E+000
1.7218685749860165E+002, 1.7218685749860165E+002, 0.0000000000000000E+000,-1.3665412460316713E+001, 0.0000000000000000E+000
1.7378008287493853E+002, 1.7378008287493853E+002, 0.0000000000000000E+000,-1.3665411796865914E+001, 0.0000000000000000E+000
1.7538805018417713E+002, 1.7538805018417713E+002, 0.0000000000000000E+000,-1.3665411145103143E+001, 0.0000000000000000E+000
1.7701089583174314E+002, 1.7701089583174314E+002, 0.0000000000000000E+000,-1.3665410506930886E+001, 0.0000000000000000E+000
1.7864875748520612E+002, 1.7864875748520612E+002, 0.0000000000000000E+000,-1.3665409880659833E+001, 0.0000000000000000E+000
1.8030177408595796E+002, 1.8030177408595796E+002, 0.0000000000000000E+000,-1.3665409264048042E+001, 0.0000000000000000E+000
1.8197008586099943E+002, 1.8197008586099943E+002, 0.0000000000000000E+000,-1.3665408658958626E+001, 0.0000000000000000E+000
1.8365383433483575E+002, 1.8365383433483575E+002, 0.0000000000000000E+000,-1.3665408066473914E+001, 0.0000000000000000E+000
1.8535316234148229E+002, 1.8535316234148229E+002, 0.0000000000000000E+000,-1.3665407483754393E+001, 0.0000000000000000E+000
1.8706821403658122E+002, 1.8706821403658122E+002, 0.0000000000000000E+000,-1.3665406913167486E+001, 0.0000000000000000E+000
1.8879913490963054E+002, 1.8879913490963054E+002, 0.0000000000000000E+000,-1.3665406351358715E+001, 0.0000000000000000E+000
1.9054607179632595E+002, 1.9054607179632595E+002, 0.0000000000000000E+000,-1.3665405800042103E+001, 0.0000000000000000E+000
1.9230917289101708E+002, 1.9230917289101708E+002, 0.0000000000000000E+000,-1.3665405261380211E+001, 0.0000000000000000E+000
1.9408858775927908E+002, 1.9408858775927908E+002, 0.0000000000000000E+000,-1.3665404730399981E+001, 0.0000000000000000E+000
1.9588446735060026E+002, 1.9588446735060026E+002, 0.0000000000000000E+000,-1.3665404211035455E+001, 0.0000000000000000E+000
1.9769696401118739E+002, 1.9769696401118739E+002, 0.0000000000000000E+000,-1.3665403700206076E+001, 0.0000000000000000E+000
1.9952623149688930E+002, 1.9952623149688930E+002, 0.0000000000000000E+000,-1.3665403198334289E+001, 0.0000000000000000E+000
2.0137242498624019E+002, 2.0137242498624019E+002, 0.0000000000000000E+000,-1.3665402706353690E+001, 0.0000000000000000E+000
2.0323570109362356E+002, 2.0323570109362356E+002, 0.0000000000000000E+000,-1.3665402225125332E+001, 0.0000000000000000E+000
2.0511621788255798E+002, 2.0511621788255798E+002, 0.0000000000000000E+000,-1.3665401751256073E+001, 0.0000000000000000E+000
2.0701413487910568E+002, 2.0701413487910568E+002, 0.0000000000000000E+000,-1.3665401286203778E+001, 0.0000000000000000E+000
2.0892961308540544E+002, 2.0892961308540544E+002, 0.0000000000000000E+000,-1.3665400830805245E+001, 0.0000000000000000E+000
2.1086281499333046E+002, 2.1086281499333046E+002, 0.0000000000000000E+000,-1.3665400383370036E+001, 0.0000000000000000E+000
2.1281390459827276E+002, 2.1281390459827276E+002, 0.0000000000000000E+000,-1.3665399944241896E+001, 0.0000000000000000E+000
2.1478304741305499E+002, 2.1478304741305499E+002, 0.0000000000000000E+000,-1.3665399514229854E+001, 0.0000000000000000E+000
2.1677041048197111E+002, 2.1677041048197111E+002, 0.0000000000000000E+000,-1.3665399091250613E+001, 0.0000000000000000E+000
2.1877616239495694E+002, 2.1877616239495694E+002, 0.0000000000000000E+000,-1.3665398675675284E+001, 0.0000000000000000E+000
2.2080047330189171E+002, 2.2080047330189171E+002, 0.0000000000000000E+000,-1.3665398269630067E+001, 0.0000000000000000E+000
2.2284351492703215E+002, 2.2284351492703215E+002, 0.0000000000000000E+000,-1.3665397870220374E+001, 0.0000000000000000E+000
2.2490546058357992E+002, 2.2490546058357992E+002, 0.0000000000000000E+000,-1.3665397478662891E+001, 0.0000000000000000E+000
2.2698648518838405E+002, 2.2698648518838405E+002, 0.0000000000000000E+000,-1.3665397093521605E+001, 0.0000000000000000E+000
2.2908676527677920E+002, 2.2908676527677920E+002, 0.0000000000000000E+000,-1.3665396717210974E+001, 0.0000000000000000E+000
2.3120647901756141E+002, 2.3120647901756141E+002, 0.0000000000000000E+000,-1.3665396347052891E+001, 0.0000000000000000E+000
2.3334580622810225E+002, 2.3334580622810225E+002, 0.0000000000000000E+000,-1.3665395984170377E+001, 0.0000000000000000E+000
2.3550492838960298E+002, 2.3550492838960298E+002, 0.0000000000000000E+000,-1.3665395629208843E+001, 0.0000000000000000E+000
2.3768402866248971E+002, 2.3768402866248971E+002, 0.0000000000000000E+000,-1.3665395280043171E+001, 0.0000000000000000E+000
2.3988329190195114E+002, 2.3988329190195114E+002, 0.0000000000000000E+000,-1.3665394937358199E+001, 0.0000000000000000E+000
2.4210290467361995E+002, 2.4210290467361995E+002, 0.0000000000000000E+000,-1.3665394601414626E+001, 0.0000000000000000E+000
2.4434305526939937E+002, 2.4434305526939937E+002, 0.0000000000000000E+000,-1.3665394271705125E+001, 0.0000000000000000E+000
2.4660393372343614E+002, 2.4660393372343614E+002, 0.0000000000000000E+000,-1.3665393948838972E+001, 0.0000000000000000E+000
2.4888573182824135E+002, 2.4888573182824135E+002, 0.0000000000000000E+000,-1.3665393632320676E+001, 0.0000000000000000E+000
2.5118864315096030E+002, 2.5118864315096030E+002, 0.0000000000000000E+000,-1.3665393321327421E+001, 0.0000000000000000E+000
2.5351286304979308E+002, 2.5351286304979308E+002, 0.0000000000000000E+000,-1.3665393015774438E+001, 0.0000000000000000E+000
2.5585858869056693E+002, 2.5585858869056693E+002, 0.0000000000000000E+000,-1.3665392717587693E+001, 0.0000000000000000E+000
2.5822601906346205E+002, 2.5822601906346205E+002, 0.0000000000000000E+000,-1.3665392423618147E+001, 0.0000000000000000E+000
2.6061535499989202E+002, 2.6061535499989202E+002, 0.0000000000000000E+000,-1.3665392136422339E+001, 0.0000000000000000E+000
2.6302679918954072E+002, 2.6302679918954072E+002, 0.0000000000000000E+000,-1.3665391854882710E+001, 0.0000000000000000E+000
2.6546055619755651E+002, 2.6546055619755651E+002, 0.0000000000000000E+000,-1.3665391578583840E+001, 0.0000000000000000E+000
2.6791683248190583E+002, 2.6791683248190583E+002, 0.0000000000000000E+000,-1.3665391307734486E+001, 0.0000000000000000E+000
2.7039583641088706E+002, 2.7039583641088706E+002, 0.0000000000000000E+000,-1.3665391042238200E+001, 0.0000000000000000E+000
2.7289777828080679E+002, 2.7289777828080679E+002, 0.0000000000000000E+000,-1.3665390781693681E+001, 0.0000000000000000E+000
2.7542287033381939E+002, 2.7542287033381939E+002, 0.0000000000000000E+000,-1.3665390526303247E+001, 0.0000000000000000E+000
2.7797132677593169E+002, 2.7797132677593169E+002, 0.0000000000000000E+000,-1.3665390276828264E+001, 0.0000000000000000E+000
2.8054336379517423E+002, 2.8054336379517423E+002, 0.0000000000000000E+000,-1.3665390031451379E+001, 0.0000000000000000E+000
2.8313919957994085E+002, 2.8313919957994085E+002, 0.0000000000000000E+000,-1.3665389791219564E+001, 0.0000000000000000E+000
2.8575905433749767E+002, 2.8575905433749767E+002, 0.0000000000000000E+000,-1.3665389555486726E+001, 0.0000000000000000E+000
2.8840315031266363E+002, 2.8840315031266363E+002, 0.0000000000000000E+000,-1.3665389324449785E+001, 0.0000000000000000E+000
2.9107171180666364E+002, 2.9107171180666364E+002, 0.0000000000000000E+000,-1.3665389098534465E+001, 0.0000000000000000E+000
2.9376496519615625E+002, 2.9376496519615625E+002, 0.0000000000000000E+000,-1.3665388876868384E+001, 0.0000000000000000E+000
2.9648313895243746E+002, 2.9648313895243746E+002, 0.0000000000000000E+000,-1.3665388660131665E+001, 0.0000000000000000E+000
2.9922646366082216E+002, 2.9922646366082216E+002, 0.0000000000000000E+000,-1.3665388446988478E+001, 0.0000000000000000E+000
