
Label=dB(v(Out3)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out3)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out3)/(V(Vid1)-V(Vid2))),dB(v(Out3)/(V(Vid1)-V(Vid2)))
1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000, 5.8487310590588962E+001, 0.0000000000000000E+000
1.0092528860766845E+002, 1.0092528860766845E+002, 0.0000000000000000E+000, 5.8487312569664383E+001, 0.0000000000000000E+000
1.0185913880541170E+002, 1.0185913880541170E+002, 0.0000000000000000E+000, 5.8487314506797588E+001, 0.0000000000000000E+000
1.0280162981264738E+002, 1.0280162981264738E+002, 0.0000000000000000E+000, 5.8487316411254973E+001, 0.0000000000000000E+000
1.0375284158180129E+002, 1.0375284158180129E+002, 0.0000000000000000E+000, 5.8487318285571916E+001, 0.0000000000000000E+000
1.0471285480508999E+002, 1.0471285480508999E+002, 0.0000000000000000E+000, 5.8487320118165364E+001, 0.0000000000000000E+000
1.0568175092136589E+002, 1.0568175092136589E+002, 0.0000000000000000E+000, 5.8487321917913199E+001, 0.0000000000000000E+000
1.0665961212302584E+002, 1.0665961212302584E+002, 0.0000000000000000E+000, 5.8487323687321016E+001, 0.0000000000000000E+000
1.0764652136298355E+002, 1.0764652136298355E+002, 0.0000000000000000E+000, 5.8487325424971594E+001, 0.0000000000000000E+000
1.0864256236170662E+002, 1.0864256236170662E+002, 0.0000000000000000E+000, 5.8487327131429865E+001, 0.0000000000000000E+000
1.0964781961431859E+002, 1.0964781961431859E+002, 0.0000000000000000E+000, 5.8487328805435098E+001, 0.0000000000000000E+000
1.1066237839776673E+002, 1.1066237839776673E+002, 0.0000000000000000E+000, 5.8487330447627990E+001, 0.0000000000000000E+000
1.1168632477805622E+002, 1.1168632477805622E+002, 0.0000000000000000E+000, 5.8487332062153541E+001, 0.0000000000000000E+000
1.1271974561755115E+002, 1.1271974561755115E+002, 0.0000000000000000E+000, 5.8487333647715460E+001, 0.0000000000000000E+000
1.1376272858234321E+002, 1.1376272858234321E+002, 0.0000000000000000E+000, 5.8487335199756039E+001, 0.0000000000000000E+000
1.1481536214968841E+002, 1.1481536214968841E+002, 0.0000000000000000E+000, 5.8487336727360073E+001, 0.0000000000000000E+000
1.1587773561551275E+002, 1.1587773561551275E+002, 0.0000000000000000E+000, 5.8487338224319167E+001, 0.0000000000000000E+000
1.1694993910198725E+002, 1.1694993910198725E+002, 0.0000000000000000E+000, 5.8487339699298566E+001, 0.0000000000000000E+000
1.1803206356517313E+002, 1.1803206356517313E+002, 0.0000000000000000E+000, 5.8487341143084500E+001, 0.0000000000000000E+000
1.1912420080273766E+002, 1.1912420080273766E+002, 0.0000000000000000E+000, 5.8487342557950093E+001, 0.0000000000000000E+000
1.2022644346174148E+002, 1.2022644346174148E+002, 0.0000000000000000E+000, 5.8487343950578385E+001, 0.0000000000000000E+000
1.2133888504649792E+002, 1.2133888504649792E+002, 0.0000000000000000E+000, 5.8487345315303827E+001, 0.0000000000000000E+000
1.2246161992650508E+002, 1.2246161992650508E+002, 0.0000000000000000E+000, 5.8487346658569848E+001, 0.0000000000000000E+000
1.2359474334445127E+002, 1.2359474334445127E+002, 0.0000000000000000E+000, 5.8487347974915238E+001, 0.0000000000000000E+000
1.2473835142429455E+002, 1.2473835142429455E+002, 0.0000000000000000E+000, 5.8487349269143465E+001, 0.0000000000000000E+000
1.2589254117941698E+002, 1.2589254117941698E+002, 0.0000000000000000E+000, 5.8487350537451292E+001, 0.0000000000000000E+000
1.2705741052085443E+002, 1.2705741052085443E+002, 0.0000000000000000E+000, 5.8487351783112402E+001, 0.0000000000000000E+000
1.2823305826560244E+002, 1.2823305826560244E+002, 0.0000000000000000E+000, 5.8487353003861500E+001, 0.0000000000000000E+000
1.2941958414499891E+002, 1.2941958414499891E+002, 0.0000000000000000E+000, 5.8487354206773034E+001, 0.0000000000000000E+000
1.3061708881318447E+002, 1.3061708881318447E+002, 0.0000000000000000E+000, 5.8487355386885113E+001, 0.0000000000000000E+000
1.3182567385564104E+002, 1.3182567385564104E+002, 0.0000000000000000E+000, 5.8487356540865569E+001, 0.0000000000000000E+000
1.3304544179780945E+002, 1.3304544179780945E+002, 0.0000000000000000E+000, 5.8487357678023599E+001, 0.0000000000000000E+000
1.3427649611378675E+002, 1.3427649611378675E+002, 0.0000000000000000E+000, 5.8487358793656590E+001, 0.0000000000000000E+000
1.3551894123510399E+002, 1.3551894123510399E+002, 0.0000000000000000E+000, 5.8487359888190412E+001, 0.0000000000000000E+000
1.3677288255958533E+002, 1.3677288255958533E+002, 0.0000000000000000E+000, 5.8487360962040597E+001, 0.0000000000000000E+000
1.3803842646028892E+002, 1.3803842646028892E+002, 0.0000000000000000E+000, 5.8487362016762994E+001, 0.0000000000000000E+000
1.3931568029453075E+002, 1.3931568029453075E+002, 0.0000000000000000E+000, 5.8487363051563037E+001, 0.0000000000000000E+000
1.4060475241299184E+002, 1.4060475241299184E+002, 0.0000000000000000E+000, 5.8487364066834360E+001, 0.0000000000000000E+000
1.4190575216890969E+002, 1.4190575216890969E+002, 0.0000000000000000E+000, 5.8487365064048930E+001, 0.0000000000000000E+000
1.4321878992735483E+002, 1.4321878992735483E+002, 0.0000000000000000E+000, 5.8487366043521078E+001, 0.0000000000000000E+000
1.4454397707459327E+002, 1.4454397707459327E+002, 0.0000000000000000E+000, 5.8487367005558049E+001, 0.0000000000000000E+000
1.4588142602753538E+002, 1.4588142602753538E+002, 0.0000000000000000E+000, 5.8487367949440305E+001, 0.0000000000000000E+000
1.4723125024327246E+002, 1.4723125024327246E+002, 0.0000000000000000E+000, 5.8487368876531924E+001, 0.0000000000000000E+000
1.4859356422870130E+002, 1.4859356422870130E+002, 0.0000000000000000E+000, 5.8487369785142675E+001, 0.0000000000000000E+000
1.4996848355023798E+002, 1.4996848355023798E+002, 0.0000000000000000E+000, 5.8487370677615857E+001, 0.0000000000000000E+000
1.5135612484362147E+002, 1.5135612484362147E+002, 0.0000000000000000E+000, 5.8487371554232112E+001, 0.0000000000000000E+000
1.5275660582380794E+002, 1.5275660582380794E+002, 0.0000000000000000E+000, 5.8487372414329528E+001, 0.0000000000000000E+000
1.5417004529495665E+002, 1.5417004529495665E+002, 0.0000000000000000E+000, 5.8487373258230228E+001, 0.0000000000000000E+000
1.5559656316050817E+002, 1.5559656316050817E+002, 0.0000000000000000E+000, 5.8487374088058473E+001, 0.0000000000000000E+000
