
Label=dB(v(Out4)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out4)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out4)/(V(Vid1)-V(Vid2))),dB(v(Out4)/(V(Vid1)-V(Vid2)))
1.0000000000000000E+002, 1.0000000000000000E+002, 0.0000000000000000E+000, 4.7134106441056367E+001, 0.0000000000000000E+000
1.0139113857366794E+002, 1.0139113857366794E+002, 0.0000000000000000E+000, 4.7134079096305811E+001, 0.0000000000000000E+000
1.0280162981264736E+002, 1.0280162981264736E+002, 0.0000000000000000E+000, 4.7134050985634545E+001, 0.0000000000000000E+000
1.0423174293933043E+002, 1.0423174293933043E+002, 0.0000000000000000E+000, 4.7134022087597323E+001, 0.0000000000000000E+000
1.0568175092136588E+002, 1.0568175092136588E+002, 0.0000000000000000E+000, 4.7133992380140945E+001, 0.0000000000000000E+000
1.0715193052376068E+002, 1.0715193052376068E+002, 0.0000000000000000E+000, 4.7133961840608194E+001, 0.0000000000000000E+000
1.0864256236170660E+002, 1.0864256236170660E+002, 0.0000000000000000E+000, 4.7133930445694261E+001, 0.0000000000000000E+000
1.1015393095414156E+002, 1.1015393095414156E+002, 0.0000000000000000E+000, 4.7133898171444876E+001, 0.0000000000000000E+000
1.1168632477805617E+002, 1.1168632477805617E+002, 0.0000000000000000E+000, 4.7133864993241247E+001, 0.0000000000000000E+000
1.1324003632355578E+002, 1.1324003632355578E+002, 0.0000000000000000E+000, 4.7133830885772511E+001, 0.0000000000000000E+000
1.1481536214968837E+002, 1.1481536214968837E+002, 0.0000000000000000E+000, 4.7133795823017692E+001, 0.0000000000000000E+000
1.1641260294104923E+002, 1.1641260294104923E+002, 0.0000000000000000E+000, 4.7133759778229283E+001, 0.0000000000000000E+000
1.1803206356517308E+002, 1.1803206356517308E+002, 0.0000000000000000E+000, 4.7133722723909315E+001, 0.0000000000000000E+000
1.1967405313072447E+002, 1.1967405313072447E+002, 0.0000000000000000E+000, 4.7133684631794864E+001, 0.0000000000000000E+000
1.2133888504649786E+002, 1.2133888504649786E+002, 0.0000000000000000E+000, 4.7133645472829087E+001, 0.0000000000000000E+000
1.2302687708123831E+002, 1.2302687708123831E+002, 0.0000000000000000E+000, 4.7133605217141778E+001, 0.0000000000000000E+000
1.2473835142429446E+002, 1.2473835142429446E+002, 0.0000000000000000E+000, 4.7133563834028408E+001, 0.0000000000000000E+000
1.2647363474711531E+002, 1.2647363474711531E+002, 0.0000000000000000E+000, 4.7133521291923735E+001, 0.0000000000000000E+000
1.2823305826560235E+002, 1.2823305826560235E+002, 0.0000000000000000E+000, 4.7133477558382218E+001, 0.0000000000000000E+000
1.3001695780332923E+002, 1.3001695780332923E+002, 0.0000000000000000E+000, 4.7133432600048863E+001, 0.0000000000000000E+000
1.3182567385564093E+002, 1.3182567385564093E+002, 0.0000000000000000E+000, 4.7133386382631045E+001, 0.0000000000000000E+000
1.3365955165464445E+002, 1.3365955165464445E+002, 0.0000000000000000E+000, 4.7133338870885510E+001, 0.0000000000000000E+000
1.3551894123510385E+002, 1.3551894123510385E+002, 0.0000000000000000E+000, 4.7133290028580042E+001, 0.0000000000000000E+000
1.3740419750125179E+002, 1.3740419750125179E+002, 0.0000000000000000E+000, 4.7133239818465697E+001, 0.0000000000000000E+000
1.3931568029453058E+002, 1.3931568029453058E+002, 0.0000000000000000E+000, 4.7133188202255909E+001, 0.0000000000000000E+000
1.4125375446227571E+002, 1.4125375446227571E+002, 0.0000000000000000E+000, 4.7133135140590248E+001, 0.0000000000000000E+000
1.4321878992735463E+002, 1.4321878992735463E+002, 0.0000000000000000E+000, 4.7133080593007143E+001, 0.0000000000000000E+000
1.4521116175877452E+002, 1.4521116175877452E+002, 0.0000000000000000E+000, 4.7133024517917860E+001, 0.0000000000000000E+000
1.4723125024327220E+002, 1.4723125024327220E+002, 0.0000000000000000E+000, 4.7132966872568630E+001, 0.0000000000000000E+000
1.4927944095789994E+002, 1.4927944095789994E+002, 0.0000000000000000E+000, 4.7132907613004221E+001, 0.0000000000000000E+000
1.5135612484362116E+002, 1.5135612484362116E+002, 0.0000000000000000E+000, 4.7132846694050613E+001, 0.0000000000000000E+000
1.5346169827992981E+002, 1.5346169827992981E+002, 0.0000000000000000E+000, 4.7132784069265568E+001, 0.0000000000000000E+000
1.5559656316050783E+002, 1.5559656316050783E+002, 0.0000000000000000E+000, 4.7132719690904125E+001, 0.0000000000000000E+000
